feature_set,state,next_state,occupancy,transition_count,transition_probability,research_disclaimer,thin_history_tickers,name_level,coverage_note
vol_corr,calm,calm,0.7748091603053435,196,0.9702970297029703,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr,calm,stress,0.7748091603053435,6,0.0297029702970297,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr,stress,calm,0.22519083969465647,6,0.1016949152542373,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr,stress,stress,0.22519083969465647,53,0.8983050847457628,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr_spread,calm,calm,0.7824427480916031,196,0.9607843137254902,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr_spread,calm,stress,0.7824427480916031,8,0.0392156862745098,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr_spread,stress,calm,0.21755725190839695,8,0.14035087719298245,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
vol_corr_spread,stress,stress,0.21755725190839695,49,0.8596491228070176,Research only; not investment advice.,"AAPR,AJAN,AJUL,AOCT,APOC,APRH,APRJ,ARKB,BFRZ,BINV,BITB,BRRR,BSTP,BTC,BTCO,BTCW,BUFB,BUSA,DFSI,EALT,EBUF,EOCT,ETH,ETHA,ETHV,ETHW,EZET,FBTC,FETH,GBND,GCAL,GEMD,GIGL,GIND,GMNY,GMUB,GPIQ,GPIX,GPRF,GSC,GSWO,GUMI,GUSA,GVUS,GXUS,HODL,IAUG,IBIT,IBUF,IDEC,IFEB,IJUN,IMAR,IMAY,INOV,IOCT,ISEP,JAJL,JANH,JANJ,JULH,JULJ,KAUG,KDEC,KFEB,KJUN,KMAR,KMAY,KNOV,KSEP,LAPR,LJAN,LJUL,LOCT,NAUG,NDEC,NFEB,NJUN,NMAR,NMAY,NNOV,NSEP,OCTH,OCTJ,PSTP,QBF,QBUF,QETH,QFLR,QTJA,QTOC,RBUF,RFLR,SFLR,SPUT,TAPR,TETH,TJAN,TJUL,XBJA,XBOC,XTJA,XTOC,XUSP,ZALT,ZAPR,ZAUG,ZDEK,ZFEB,ZJAN,ZJUL,ZJUN,ZMAR,ZMAY,ZNOV,ZOCT,ZSEP",False,Snapshot flags only; not used for historical selection
