decision_date,date,window_weeks,strategy_id,ticker,weight
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VCSH,2.1630032512959304e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,ILTB,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,PPLT,1.6289505558581912e-19
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,CORN,7.866229623503799e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,EMLC,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHP,1.1164014261595075e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VOO,6.409938112789875e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VOOV,2.877907856317289e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VIOG,1.6389285711671697e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VTWO,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,STIP,1.2903863826229663e-17
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHM,1.0758568945806842e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,WEAT,1.530008757540832e-17
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,CANE,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SOYB,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,USMV,1.9040947422724872e-19
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,EFAV,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,LEMB,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SPTS,0.2405557320786474
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GOVT,9.552027858511039e-17
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,TAGS,0.008284570405307128
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SJNK,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IEFA,2.473989972416651e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SPHD,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VLUE,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,FTSL,0.0022404146428783725
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,QUAL,2.982293165582824e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,HEFA,3.3069393590110455e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IEUR,4.5234665554345545e-19
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IQLT,0.0
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GBTC,3.792907530186152e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSLC,7.47445300692845e-19
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSIE,5.515451564180631e-19
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSEU,1.4216471013787141e-18
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSJY,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPY,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,MDY,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,EWJ,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,QQQ,1.2291795906810168e-17
2021-03-31,2021-04-30,156,minvar_lw_weekly,IVV,1.2807059408370636e-17
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWB,4.0367026504619224e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWM,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWD,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJR,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJH,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IVE,4.36149089229212e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWV,4.5761921269237064e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWO,1.1133950251515107e-17
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWN,7.735605361142186e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJT,1.693132472910516e-17
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJS,1.0728833247347043e-17
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJK,1.323971034205182e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJJ,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IEV,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IUSV,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPYV,5.356669085973627e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,VTI,6.289234581540199e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWP,3.3127321609194586e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWS,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,EFA,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWR,5.127103799864191e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,VXF,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,TLT,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,IEF,0.05138898472070254
2021-03-31,2021-04-30,156,minvar_lw_weekly,SHY,0.18104085742287193
2021-03-31,2021-04-30,156,minvar_lw_weekly,EEM,2.614717946578879e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,AGG,0.006587631137278977
2021-03-31,2021-04-30,156,minvar_lw_weekly,TIP,0.005420425114129788
2021-03-31,2021-04-30,156,minvar_lw_weekly,VTV,9.374730596236588e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,VO,7.944108170319725e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,VV,4.068564365502692e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,GLD,6.2622491574067794e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,IAU,6.2767183317460755e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,VGK,4.158812514424852e-18
2021-03-31,2021-04-30,156,minvar_lw_weekly,EFV,1.1406351055290831e-19
2021-03-31,2021-04-30,156,minvar_lw_weekly,PID,0.0
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPYM,0.0
