date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,corr_elevated,z_elevated,mean_abs_corr,z,z_rule,sigma_hat,sigma_star,lookback,corr_lookback_months,f_min,f_max,g_min,cash_ticker,cash_price_source,thin_history_tickers,include_thin,n_sleeves,n_thin_sleeves,n_panel_names_eligible,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2020-11-30,2020-12-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,0.25,0.25,True,True,True,0.7095921392249308,0.16763397331212612,mkt_vol,0.1725586351534862,0.19655749503893236,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2020-12-31,2021-01-29,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.7298022492578821,0.08244402567879215,mkt_vol,0.08475951398550026,0.16108421258698608,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.75,0.000375,0.7,0.2,0.1,0.0
2021-01-29,2021-02-26,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,0.9912394971728384,0.25,0.2478098742932096,True,True,True,0.774609900703505,0.15874584474348225,mkt_vol,0.15820552496260631,0.15681956501389882,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.7521901257067904,0.00037609506285339524,0.17346691200524672,0.04956197485864192,0.02478098742932096,0.7521901257067904
2021-02-26,2021-03-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,0.9584909069162808,0.25,0.2396227267290702,True,True,True,0.7637695929315323,0.15775799302984064,mkt_vol,0.16666055093674378,0.15974262261452657,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.008187147564139354,4.093573782069677e-06,0.16773590871034913,0.04792454534581404,0.02396227267290702,0.7603772732709297
2021-03-31,2021-04-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,0.9567441668792633,0.25,0.23918604171981583,True,True,True,0.7718829166918922,0.14743512532482062,mkt_vol,0.1720757160141774,0.16463243755813686,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.000436685009254395,2.183425046271975e-07,0.16743022920387107,0.04783720834396317,0.023918604171981585,0.7608139582801842
2021-04-30,2021-05-28,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.7137529382358015,0.10478514427628777,mkt_vol,0.11357034319925466,0.1572673155173817,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.7608139582801842,0.0003804069791400921,0.7,0.2,0.1,0.0
2021-05-28,2021-06-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,True,0.4386516371675099,0.1385611053412053,mkt_vol,0.15213475619825517,0.15686903609410532,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-06-30,2021-07-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.4457179831779575,0.08659804576729899,mkt_vol,0.08842131261880498,0.1497772850799746,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-07-30,2021-08-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.46074867639923495,0.11310144516854995,mkt_vol,0.11560138619765561,0.14615172090236206,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-08-31,2021-09-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.4435731434977802,0.08357998584311203,mkt_vol,0.09092833945186884,0.1415043667253468,21,6,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
