date,decision_date,trial_id,r_method,r_method_gross,cost_return,r_null_a,r_null_b,r_null_c,r_active_vs_a,r_active_vs_b,r_active_vs_c,turnover,f,g,f_tilde,gate_binding
2020-12-31,2020-11-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.011120305117417255,0.011120305117417255,0.0,0.044383263762949605,0.044383263762949605,0.05485854966987034,-0.03326295864553235,-0.03326295864553235,-0.043738244552453086,0.0,1.0,0.25,0.25,True
2021-01-29,2020-12-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.0006406588922878445,-0.0002656588922878445,0.000375,-0.0002656588922878445,-0.0002656588922878445,0.006858562511923282,-0.000375,-0.000375,-0.007499221404211127,0.75,1.0,1.0,1.0,False
2021-02-26,2021-01-29,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.006384298820054484,0.006760393882907879,0.00037609506285339524,0.027364503344599018,0.027611732047081672,0.027155166005436843,-0.020980204524544535,-0.02122743322702719,-0.02077086718538236,0.7521901257067904,0.9912394971728384,0.25,0.2478098742932096,True
2021-03-31,2021-02-26,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.009048123743419787,0.009052217317201856,4.093573782069677e-06,0.036520734766138256,0.03812414958029913,0.023809517999560458,-0.027472611022718467,-0.029076025836879342,-0.01476139425614067,0.008187147564139354,0.9584909069162808,0.25,0.2396227267290702,True
2021-04-30,2021-03-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.012073431450095271,0.012073649792599898,2.183425046271975e-07,0.048293725800381083,0.050478070149022544,0.03889909104749361,-0.036220294350285814,-0.038404638698927275,-0.02682565959739834,0.000436685009254395,0.9567441668792633,0.25,0.23918604171981583,True
2021-05-28,2021-04-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.0040762676564044635,0.004456674635544555,0.0003804069791400921,0.004435046718984187,0.004456674635544555,-0.002103869340104195,-0.00035877906257972356,-0.0003804069791400917,0.006180136996508659,0.7608139582801842,1.0,1.0,1.0,False
2021-06-30,2021-05-28,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.028814765955021217,0.028814765955021217,0.0,0.028814765955021217,0.028814765955021217,0.006261945581678417,0.0,0.0,0.022552820373342802,0.0,1.0,1.0,1.0,False
2021-07-30,2021-06-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.020363120907655515,0.020363120907655515,0.0,0.020363120907655515,0.020363120907655515,0.008515954408507819,0.0,0.0,0.011847166499147696,0.0,1.0,1.0,1.0,False
2021-08-31,2021-07-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.030971460327742274,0.030971460327742274,0.0,0.030971460327742274,0.030971460327742274,0.026327827017288648,0.0,0.0,0.004643633310453626,0.0,1.0,1.0,1.0,False
2021-09-30,2021-08-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.046385335726389115,-0.046385335726389115,0.0,-0.046385335726389115,-0.046385335726389115,-0.03178743105741398,0.0,0.0,-0.014597904668975134,0.0,1.0,1.0,1.0,False
