Date,VOO,VTI,QQQ,QQQM,IJR,IWM,QUAL,USMV,VLUE,GSEW,IWP,IWO,IJK,IJT,VIOG,VXF,XSD,XBI,LOUP,GTEK,GINN,GVIP,BBC,VEA,EEM,BIL,SGOV,GBIL,SHV
2020-01-02,271.1125793457031,150.1563720703125,208.0888519287109,,75.69174194335938,152.6703338623047,93.51776885986328,58.6390266418457,75.70753479003906,45.86185073852539,74.61216735839844,205.8612060546875,56.51844787597656,90.90865325927734,77.89408874511719,116.74433135986328,106.01725769042967,93.85759735107422,27.441999435424805,,,63.10865783691406,36.298736572265625,36.6751594543457,39.8797721862793,76.36247253417969,,83.47930908203125,91.96876525878906
2020-01-03,269.13201904296875,149.20069885253906,206.18280029296875,,75.64661407470703,152.0717315673828,92.91195678710938,58.67477035522461,74.8944091796875,45.680152893066406,74.31690216064453,204.83457946777344,56.258426666259766,90.92745208740234,77.96441650390625,116.4763641357422,104.3593521118164,92.54907989501952,27.200000762939453,,,62.65315628051758,35.742801666259766,36.22930908203125,39.13932800292969,76.36247253417969,,83.48766326904297,91.96876525878906
2020-01-06,270.1405029296875,149.71038818359375,207.51124572753903,,75.57444763183594,152.27432250976562,93.13227081298828,58.75519561767578,74.77703094482422,45.70624923706055,74.60733032226562,205.5637664794922,56.277339935302734,90.83824920654295,77.74409484863281,116.81825256347656,103.6333999633789,93.35204315185548,27.200000762939453,,,62.89221954345703,35.674888610839844,36.3531608581543,39.04350280761719,76.35414123535156,,83.47930908203125,91.96044921875
2020-01-07,269.3955383300781,149.3553924560547,207.4824066162109,,75.1414794921875,151.76779174804688,93.00373840332033,58.51392364501953,74.88600158691406,45.6612663269043,74.59281921386719,205.1991729736328,56.16388320922852,90.34519958496094,77.47217559814453,116.5317840576172,105.23243713378906,93.500732421875,27.540000915527344,,,63.09488296508789,35.964012145996094,36.29536437988281,39.017372131347656,76.35414123535156,,83.4959945678711,91.97709655761719
2020-01-08,270.78546142578125,150.0926055908203,209.0418701171875,,75.30384063720703,152.23751831054688,93.38011169433594,58.6390266418457,75.05366516113281,45.82585906982422,74.955810546875,206.4176483154297,56.277339935302734,90.94151306152344,77.88003540039062,117.03998565673828,105.8112335205078,94.77953338623048,27.81999969482422,,,63.42052459716797,36.31523132324219,36.34490585327149,39.24386215209961,76.37083435058594,,83.4959945678711,91.98541259765625
2020-01-09,272.6570739746094,151.03009033203125,210.81320190429688,,75.28579711914062,152.42169189453125,94.1419677734375,59.0053939819336,75.18779754638672,46.05073165893555,75.58989715576172,207.1659240722656,56.56807327270508,90.91805267333984,77.96441650390625,117.35416412353516,106.40966033935548,94.98770904541016,28.040000915527344,,,63.63990020751953,36.19881057739258,36.4935188293457,39.50519180297852,76.37920379638672,,83.4959945678711,91.98541259765625
2020-01-10,271.87567138671875,150.59320068359375,210.27410888671875,,74.93400573730469,151.85072326660156,94.01346588134766,58.97858810424805,74.86922454833984,45.97336959838867,75.36239624023438,206.523178100586,56.36006546020508,90.59406280517578,77.65971374511719,117.05848693847656,106.00745391845705,94.00631713867188,27.95499992370605,,,63.399864196777344,36.07849884033203,36.36967849731445,39.71426773071289,76.37920379638672,,83.50015258789062,91.97709655761719
2020-01-13,273.6745300292969,151.62168884277344,212.7000274658203,,75.55644989013672,152.8361053466797,94.7936782836914,59.33604431152344,75.10395050048828,46.27109146118164,75.95292663574219,207.97186279296875,56.81153869628906,91.63175964355467,78.5410385131836,118.13026428222656,107.84190368652344,92.1128921508789,28.549999237060547,,,64.2154312133789,35.22859191894531,36.58432769775391,40.33275604248047,76.37920379638672,,83.50015258789062,91.98541259765625
2020-01-14,273.3111267089844,151.539794921875,211.8625030517578,,75.8360595703125,153.3978729248047,94.65599822998048,59.30029678344727,75.37223815917969,46.31064987182617,75.91419219970703,209.07522583007807,56.91316986083984,91.86653900146484,78.76605987548828,118.50910949707033,107.99886322021484,94.81918334960938,28.6200008392334,,,64.21247100830078,36.247314453125,36.60909652709961,40.10626602172852,76.37920379638672,,83.50433349609375,91.98541259765625
2020-01-15,273.919921875,151.91290283203125,211.9491729736328,,76.16081237792969,154.13461303710938,94.94054412841795,59.71136093139648,75.07882690429688,46.41588973999024,76.14166259765625,210.5431060791016,57.00536346435547,92.44876098632812,79.26766204833984,118.7678451538086,106.1644058227539,95.51310729980467,28.34000015258789,,,64.59123229980469,36.57233810424805,36.58432769775391,39.79266357421875,76.38755798339844,,83.51266479492188,92.00208282470703
