date,decision_date,trial_id,r_method,r_method_gross,cost_return,r_null_a,r_null_b,r_null_c,r_null_d,r_null_e,r_active_vs_a,r_active_vs_b,r_active_vs_c,r_active_vs_d,r_active_vs_e,turnover,f,g,f_tilde,gate_binding,left_tail_score,skew
2020-12-31,2020-11-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.044383263762949605,0.044383263762949605,0.0,0.044383263762949605,0.044383263762949605,0.04305950169287537,,,0.0,0.0,0.0013237620700742372,,,0.0,1.0,1.0,1.0,False,,1.2974344953165096
2021-01-29,2020-12-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,-0.0002656588922878445,-0.0002656588922878445,0.0,-0.0002656588922878445,-0.0002656588922878445,0.010197774237894093,,,0.0,0.0,-0.010463433130181938,,,0.0,1.0,1.0,1.0,False,,1.1574670112098557
2021-02-26,2021-01-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.027364503344599018,0.027368883596012597,4.380251413580779e-06,0.027364503344599018,0.027611732047081672,0.02737851451707623,,,0.0,-0.000247228702482654,-1.401117247721087e-05,,,0.008760502827161558,0.9912394971728384,1.0,0.9912394971728384,False,0.0002656588922878445,-0.6292777795336822
2021-03-31,2021-02-26,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.036520734766138256,0.03653710906126653,1.6374295128278816e-05,0.036520734766138256,0.03812414958029913,0.018698484525459955,,,0.0,-0.001603414814160875,0.0178222502406783,,,0.03274859025655764,0.9584909069162808,1.0,0.9584909069162808,False,0.0002656588922878445,-0.4414810862480415
2021-04-30,2021-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.048293725800381083,0.04829459917039959,8.733700185087345e-07,0.048293725800381083,0.050478070149022544,0.030799575076340485,,,0.0,-0.0021843443486414607,0.0174941507240406,,,0.001746740037017469,0.9567441668792633,1.0,0.9567441668792633,False,0.0002656588922878445,0.6112541878618175
2021-05-28,2021-04-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.004435046718984187,0.004456674635544555,2.162791656036833e-05,0.004435046718984187,0.004456674635544555,0.009957669949826317,,,0.0,-2.162791656036816e-05,-0.00552262323084213,,,0.043255833120736664,1.0,1.0,1.0,False,0.0002656588922878445,0.8891284758746884
2021-06-30,2021-05-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.028814765955021217,0.028814765955021217,0.0,0.028814765955021217,0.028814765955021217,0.005585222782593786,,,0.0,0.0,0.023229543172427432,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.3572811956440592
2021-07-30,2021-06-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.020363120907655515,0.020363120907655515,0.0,0.020363120907655515,0.020363120907655515,0.002837760796856584,,,0.0,0.0,0.01752536011079893,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.3653180709543913
2021-08-31,2021-07-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.030971460327742274,0.030971460327742274,0.0,0.030971460327742274,0.030971460327742274,0.015884896537518838,,,0.0,0.0,0.015086563790223436,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.36971411823645894
2021-09-30,2021-08-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,-0.046385335726389115,-0.046385335726389115,0.0,-0.046385335726389115,-0.046385335726389115,-0.020131396711883895,,,0.0,0.0,-0.02625393901450522,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.5663643704191799
2021-10-29,2021-09-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.01670286116194304,0.017077861161943042,0.000375,0.06863896747251708,0.06863896747251708,0.03378468054372981,,,-0.051936106310574034,-0.051936106310574034,-0.017081819381786767,,,0.75,1.0,0.25,0.25,True,0.046385335726389115,-1.1935022365350227
2021-11-30,2021-10-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,-0.0010682120938835388,-0.0010682120938835388,0.0,-0.003616834602133967,-0.003616834602133967,-0.021614992780355134,,,0.0025486225082504282,0.0025486225082504282,0.020546780686471595,,,0.0,1.0,0.25,0.25,True,0.046385335726389115,0.8762411389374886
2021-12-31,2021-11-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,0.009661946419292283,0.009661946419292283,0.0,0.03864778567716913,0.03864778567716913,0.02408807328170124,,,-0.028985839257876848,-0.028985839257876848,-0.014426126862408958,,,0.0,1.0,0.25,0.25,True,0.046385335726389115,-1.366898761381862
