date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,left_tail_score,lt_median,skew,skew_estimator,left_tail_rule,sigma_hat,sigma_star,lookback,skew_lookback_months,g_min,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,n_panel_names_eligible,n_null_names,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2021-01-29,2021-02-26,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,,-0.6292777795336822,realized_amaya,cvar_5,0.14688778385379772,0.15681956501389882,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,164,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-02-26,2021-03-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,-0.4414810862480415,realized_amaya,cvar_5,0.1349849087187165,0.15974262261452657,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,167,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-03-31,2021-04-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.9883955147201895,1.0,0.9883955147201895,False,0.0002656588922878445,0.0002656588922878445,0.6112541878618175,realized_amaya,cvar_5,0.1665653426247524,0.16463243755813686,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,170,2020-10-13,0.011604485279810492,5.802242639905246e-06,0.6918768603041326,0.1976791029440379,0.09883955147201895,0.011604485279810506
2021-04-30,2021-05-28,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.8891284758746884,realized_amaya,cvar_5,0.15418576519054888,0.1572673155173817,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,172,2020-10-13,0.011604485279810492,5.802242639905246e-06,0.7,0.2,0.1,0.0
2021-05-28,2021-06-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,-0.3572811956440592,realized_amaya,cvar_5,0.14725372207323956,0.15686903609410532,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,176,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-06-30,2021-07-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.3653180709543913,realized_amaya,cvar_5,0.11877912539421058,0.1497772850799746,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,179,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-07-30,2021-08-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.36971411823645894,realized_amaya,cvar_5,0.1188347471759527,0.14615172090236206,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,183,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-08-31,2021-09-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.5663643704191799,realized_amaya,cvar_5,0.0977768358619086,0.1415043667253468,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,186,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-09-30,2021-10-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.5,0.5,True,0.046385335726389115,0.0002656588922878445,-1.1935022365350227,realized_amaya,cvar_5,0.11374163992408176,0.1405124631672338,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,189,2020-10-13,0.5,0.00025,0.35,0.1,0.05,0.5
2021-10-29,2021-11-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.5,0.5,True,0.046385335726389115,0.0002656588922878445,0.8762411389374886,realized_amaya,cvar_5,0.11497101707613572,0.13901142160171953,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,191,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2021-11-30,2021-12-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.5,0.5,True,0.046385335726389115,0.0002656588922878445,-1.366898761381862,realized_amaya,cvar_5,0.12725329591857482,0.13720496738717505,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,197,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
