date,decision_date,trial_id,r_method,r_method_gross,cost_return,r_null_a,r_null_b,r_null_c,r_null_d,r_null_e,r_active_vs_a,r_active_vs_b,r_active_vs_c,r_active_vs_d,r_active_vs_e,turnover,f,g,f_tilde,gate_binding,left_tail_score,skew
2021-02-26,2021-01-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.027611732047081672,0.027611732047081672,0.0,0.027611732047081672,0.027611732047081672,0.027142224820504237,-0.0070358161207861245,-0.0012522318189016521,0.0,0.0,0.00046950722657743485,0.034647548167867796,0.028863963865983323,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.6292777795336822
2021-03-31,2021-02-26,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.03812414958029913,0.03812414958029913,0.0,0.03812414958029913,0.03812414958029913,0.019241983462488815,-0.0036628294479499664,0.0003746358573454998,0.0,0.0,0.018882166117810316,0.0417869790282491,0.03774951372295363,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.4414810862480415
2021-04-30,2021-03-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.04988649588438507,0.049892298127024975,5.802242639905246e-06,0.04988649588438507,0.050478070149022544,0.03102534568506349,0.015071725602476563,0.020080444629694622,0.0,-0.0005915742646374761,0.018861150199321577,0.034814770281908505,0.029806051254690446,0.011604485279810492,0.9883955147201895,1.0,0.9883955147201895,False,0.0002656588922878445,0.6112541878618175
2021-05-28,2021-04-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.00445087239290465,0.004456674635544555,5.802242639905246e-06,0.00445087239290465,0.004456674635544555,0.010130390596344529,0.0032808404463764134,0.010710938825714982,0.0,-5.802242639905628e-06,-0.005679518203439879,0.0011700319465282362,-0.006260066432810333,0.011604485279810492,1.0,1.0,1.0,False,0.0002656588922878445,0.8891284758746884
2021-06-30,2021-05-28,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.028814765955021217,0.028814765955021217,0.0,0.028814765955021217,0.028814765955021217,0.005310240327105767,0.006386863323857354,0.0024344292562354774,0.0,0.0,0.02350452562791545,0.022427902631163864,0.026380336698785742,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.3572811956440592
2021-07-30,2021-06-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.020363120907655515,0.020363120907655515,0.0,0.020363120907655515,0.020363120907655515,0.0032809961195997854,0.0036063262627203173,0.006136712851199648,0.0,0.0,0.01708212478805573,0.016756794644935197,0.014226408056455867,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.3653180709543913
2021-08-31,2021-07-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.030971460327742274,0.030971460327742274,0.0,0.030971460327742274,0.030971460327742274,0.015810351400456717,0.001220635401640281,0.00578043886471174,0.0,0.0,0.015161108927285557,0.029750824926101992,0.02519102146303053,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.36971411823645894
2021-09-30,2021-08-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,-0.046385335726389115,-0.046385335726389115,0.0,-0.046385335726389115,-0.046385335726389115,-0.020084621581358833,-0.004412774996302266,-0.013391105715270272,0.0,0.0,-0.026300714145030282,-0.04197256073008685,-0.03299423001111884,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.5663643704191799
2021-10-29,2021-09-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.03401489659880105,0.03426489659880105,0.00025,0.06863896747251708,0.06863896747251708,0.03345624291671767,0.0006443620114258513,0.009957974813577162,-0.03462407087371602,-0.03462407087371602,0.0005586536820833821,0.033370534587375204,0.02405692178522389,0.5,1.0,0.5,0.5,True,0.046385335726389115,-1.1935022365350227
2021-11-30,2021-10-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,-0.0019177529299670149,-0.0019177529299670149,0.0,-0.003616834602133967,-0.003616834602133967,-0.021578952640255947,-0.001249309143385398,-0.009147011849812703,0.0016990816721669522,0.0016990816721669522,0.019661199710288933,-0.0006684437865816168,0.007229258919845688,0.0,1.0,0.5,0.5,True,0.046385335726389115,0.8762411389374886
