date,decision_date,trial_id,r_method,r_method_gross,cost_return,r_null_a,r_null_b,r_null_c,r_null_d,r_null_e,r_active_vs_a,r_active_vs_b,r_active_vs_c,r_active_vs_d,r_active_vs_e,turnover,f,g,f_tilde,gate_binding,left_tail_score,skew
2021-02-26,2021-01-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.027611732047081672,0.027611732047081672,0.0,0.027611732047081672,0.027611732047081672,0.02737851451707623,,,0.0,0.0,0.00023321753000544315,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.6292777795336822
2021-03-31,2021-02-26,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.03812414958029913,0.03812414958029913,0.0,0.03812414958029913,0.03812414958029913,0.018698484525459955,,,0.0,0.0,0.019425665054839177,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.4414810862480415
2021-04-30,2021-03-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.04988649588438507,0.049892298127024975,5.802242639905246e-06,0.04988649588438507,0.050478070149022544,0.030799575076340485,,,0.0,-0.0005915742646374761,0.019086920808044583,,,0.011604485279810492,0.9883955147201895,1.0,0.9883955147201895,False,0.0002656588922878445,0.6112541878618175
2021-05-28,2021-04-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.00445087239290465,0.004456674635544555,5.802242639905246e-06,0.00445087239290465,0.004456674635544555,0.009957669949826317,,,0.0,-5.802242639905628e-06,-0.0055067975569216675,,,0.011604485279810492,1.0,1.0,1.0,False,0.0002656588922878445,0.8891284758746884
2021-06-30,2021-05-28,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.028814765955021217,0.028814765955021217,0.0,0.028814765955021217,0.028814765955021217,0.005585222782593786,,,0.0,0.0,0.023229543172427432,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,-0.3572811956440592
2021-07-30,2021-06-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.020363120907655515,0.020363120907655515,0.0,0.020363120907655515,0.020363120907655515,0.002837760796856584,,,0.0,0.0,0.01752536011079893,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.3653180709543913
2021-08-31,2021-07-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.030971460327742274,0.030971460327742274,0.0,0.030971460327742274,0.030971460327742274,0.015884896537518838,,,0.0,0.0,0.015086563790223436,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.36971411823645894
2021-09-30,2021-08-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,-0.046385335726389115,-0.046385335726389115,0.0,-0.046385335726389115,-0.046385335726389115,-0.020131396711883895,,,0.0,0.0,-0.02625393901450522,,,0.0,1.0,1.0,1.0,False,0.0002656588922878445,0.5663643704191799
2021-10-29,2021-09-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,0.03401489659880105,0.03426489659880105,0.00025,0.06863896747251708,0.06863896747251708,0.03378468054372981,,,-0.03462407087371602,-0.03462407087371602,0.00023021605507124454,,,0.5,1.0,0.5,0.5,True,0.046385335726389115,-1.1935022365350227
2021-11-30,2021-10-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,-0.0019177529299670149,-0.0019177529299670149,0.0,-0.003616834602133967,-0.003616834602133967,-0.021614992780355134,,,0.0016990816721669522,0.0016990816721669522,0.01969723985038812,,,0.0,1.0,0.5,0.5,True,0.046385335726389115,0.8762411389374886
