trial_id,K,feature_set,allocator,fit_mode,policy,name_level,trial_count,DSR,Sharpe,AnnReturn,MaxDD,n_months,missing_months,stress_months,stress_Sharpe,stress_mean_return,stress_total_return,turnover_per_year,research_disclaimer
k2_vol_corr_erc,2,vol_corr,erc,expanding,dual,True,4,0.9752782947778086,0.5659119766442119,0.05067164812918601,-0.33448262680900454,262,0,53,-3.256538065567599,-0.0298211148470096,-0.8032722258299642,0.8773524792178935,Research only; not investment advice.
k2_vol_corr_ew,2,vol_corr,ew,expanding,dual,True,4,0.9644864415365185,0.5317236024568204,0.06449651700959258,-0.40488580317598877,262,0,53,-3.755214303352968,-0.04361768320553329,-0.9087920097594739,0.7090899641705823,Research only; not investment advice.
k2_vol_corr_spread_erc,2,vol_corr_spread,erc,expanding,dual,True,4,0.9761617859958075,0.5692340740619295,0.05112312078152281,-0.33448262680900454,262,0,53,-3.256538065567599,-0.0298211148470096,-0.8032722258299642,1.0421459381992837,Research only; not investment advice.
k2_vol_corr_spread_ew,2,vol_corr_spread,ew,expanding,dual,True,4,0.966082540163934,0.536183122577948,0.06515930618041654,-0.39353910751671806,262,0,53,-3.755214303352968,-0.04361768320553329,-0.9087920097594739,0.8741521463301662,Research only; not investment advice.
unconditional_erc,2,vol_corr_spread,erc,expanding,all,True,4,0.9997767551172613,0.897454859478167,0.043526688083878495,-0.21845451771404445,262,0,53,-3.969922937654501,-0.015142806771649574,-0.556375682477221,0.4045554713447027,Research only; not investment advice.
unconditional_ew,2,vol_corr_spread,ew,expanding,all,True,4,0.9895883179683344,0.6401930472818396,0.07505019406441904,-0.4380371151159471,262,0,53,-4.2843811313062705,-0.042241548801459056,-0.9007194965482727,0.22757804633062972,Research only; not investment advice.
always_calm,2,vol_corr_spread,erc,expanding,calm,True,4,0.9901285243639264,0.644486981692357,0.0677859140752326,-0.4618465950491657,262,0,53,-4.0828367837503174,-0.037396665053669516,-0.8699707680105949,0.36534393204607535,Research only; not investment advice.
