trial_id,decision_date,feature_end,date,regime,return,turnover,missing_held_returns,ex_post_stress,research_disclaimer
unconditional_ew,2005-03-31,2005-03-31,2005-04-30,all,-0.025212990728240008,0.004400182732753116,0,True,Research only; not investment advice.
always_calm,2005-03-31,2005-03-31,2005-04-30,calm,-0.027384495706760003,0.01725106755398606,0,True,Research only; not investment advice.
k2_vol_corr_erc,2005-04-30,2005-04-30,2005-05-31,calm,0.036348217435064084,0.01468718633643096,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-04-30,2005-04-30,2005-05-31,calm,0.03873027541827194,0.006549970816757435,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-04-30,2005-04-30,2005-05-31,calm,0.036348217435064084,0.01468718633643096,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-04-30,2005-04-30,2005-05-31,calm,0.03873027541827194,0.006549970816757435,0,False,Research only; not investment advice.
unconditional_erc,2005-04-30,2005-04-30,2005-05-31,all,0.027398664804741783,0.016101035020502058,0,False,Research only; not investment advice.
unconditional_ew,2005-04-30,2005-04-30,2005-05-31,all,0.03577637042877502,0.008533390562116999,0,False,Research only; not investment advice.
always_calm,2005-04-30,2005-04-30,2005-05-31,calm,0.036348217435064084,0.01468718633643096,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-05-31,2005-05-31,2005-06-30,calm,0.017328595986785537,0.014408785766447852,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-05-31,2005-05-31,2005-06-30,calm,0.01871541706308845,0.00941507778223229,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-05-31,2005-05-31,2005-06-30,calm,0.017328595986785537,0.014408785766447852,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-05-31,2005-05-31,2005-06-30,calm,0.01871541706308845,0.00941507778223229,0,False,Research only; not investment advice.
unconditional_erc,2005-05-31,2005-05-31,2005-06-30,all,0.01356615321733152,0.0128224636453283,0,False,Research only; not investment advice.
unconditional_ew,2005-05-31,2005-05-31,2005-06-30,all,0.01750729750897397,0.009637009805526208,0,False,Research only; not investment advice.
always_calm,2005-05-31,2005-05-31,2005-06-30,calm,0.017328595986785537,0.014408785766447852,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-06-30,2005-06-30,2005-07-31,calm,0.042288357618254335,0.01874450637365694,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-06-30,2005-06-30,2005-07-31,calm,0.04579640482460313,0.006541469267443572,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-06-30,2005-06-30,2005-07-31,calm,0.042288357618254335,0.01874450637365694,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-06-30,2005-06-30,2005-07-31,calm,0.04579640482460313,0.006541469267443572,0,False,Research only; not investment advice.
unconditional_erc,2005-06-30,2005-06-30,2005-07-31,all,0.02392598675468802,0.01138385433362762,0,False,Research only; not investment advice.
unconditional_ew,2005-06-30,2005-06-30,2005-07-31,all,0.038094521043050306,0.006318786992761061,0,False,Research only; not investment advice.
always_calm,2005-06-30,2005-06-30,2005-07-31,calm,0.042288357618254335,0.01874450637365694,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-07-31,2005-07-31,2005-08-31,calm,0.000528567558063259,0.039038863681706094,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-07-31,2005-07-31,2005-08-31,calm,0.0006929634133702165,0.006212166019864938,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-07-31,2005-07-31,2005-08-31,calm,0.000528567558063259,0.039038863681706094,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-07-31,2005-07-31,2005-08-31,calm,0.0006929634133702165,0.006212166019864938,0,False,Research only; not investment advice.
unconditional_erc,2005-07-31,2005-07-31,2005-08-31,all,0.0035666666363889507,0.020934268082369152,0,False,Research only; not investment advice.
unconditional_ew,2005-07-31,2005-07-31,2005-08-31,all,0.002955447500811559,0.009338621861272992,0,False,Research only; not investment advice.
always_calm,2005-07-31,2005-07-31,2005-08-31,calm,0.000528567558063259,0.039038863681706094,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-08-31,2005-08-31,2005-09-30,calm,0.01923132563874281,0.006927685658305633,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-08-31,2005-08-31,2005-09-30,calm,0.01853231479774161,0.008944280955768009,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-08-31,2005-08-31,2005-09-30,calm,0.01923132563874281,0.006927685658305633,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-08-31,2005-08-31,2005-09-30,calm,0.01853231479774161,0.008944280955768009,0,False,Research only; not investment advice.
unconditional_erc,2005-08-31,2005-08-31,2005-09-30,all,0.008636675674907132,0.008934540689634216,0,False,Research only; not investment advice.
