decision_date,feature_end,date,label_start,n_names,n_sleeves,include_thin,n_thin,n_signal_modes,pct_var_signal,noise_penalty,signal_risk_fraction,eigen_risk_contributions,mp_upper_edge,configuration_id
2021-03-31,2021-03-31,2021-04-30,2021-04-01,101,101,False,0,2,0.7577556589312205,1.70376475627412e-08,0.9997778950914066,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.856844494065574e-25, 4.883792188553509e-24, 6.940151800800759e-23, 1.56596457667702e-23, 7.323905487251127e-24, 1.6921053081347748e-21, 7.540298115019903e-23, 6.676428852628659e-24, 2.4303181850852624e-26, 6.257481304799625e-22, 8.50570934893123e-22, 5.719576611586418e-25, 2.785929789737275e-23, 1.6058278462631322e-23, 2.8209729030143093e-22, 1.931701570988219e-21, 2.778039341078388e-22, 3.845488638739619e-21, 2.49736749066525e-11, 4.482421035092533e-10, 5.14249092197495e-10, 5.283287516153628e-11, 1.1643038413308328e-09, 1.9543619566580095e-09, 2.3916053287729218e-11, 4.2890276418066036e-11, 2.1929004588425648e-09, 1.5352367060844818e-13, 3.784391684595582e-10, 3.0809671643840665e-10, 1.4019266807390797e-09, 2.1108030816465736e-09, 7.46178966248583e-09, 9.252608249706005e-09, 2.7147435797829284e-08, 7.828509665894693e-08, 4.7765912367199e-08, 1.5959033681807563e-07, 5.694489069823972e-13, 6.071012989446209e-10, 1.5137435915180535e-07, 5.755653601684427e-08, 1.190272330067767e-09, 1.9015253795906607e-08, 1.0415770112590051e-07, 8.140154472978266e-07, 9.051175504417709e-08, 8.387536000337727e-10, 1.0363281834859818e-06, 1.6899123131156024e-07, 6.395027834695151e-07, 7.909235756713802e-10, 6.286560130280155e-07, 1.4401433638670247e-06, 3.932007433200067e-06, 3.7212645290799143e-09, 2.245222170266301e-06, 1.0995754789524252e-07, 1.99735175004801e-06, 1.2761989999990364e-06, 3.926107933813743e-06, 7.312007835735726e-07, 1.7089889468456116e-07, 1.5774125144758885e-06, 9.134304147365841e-06, 2.9389830968380606e-06, 8.581616109969383e-07, 4.426107419239845e-06, 4.928544412704626e-06, 7.3548782936720135e-06, 1.435061511749817e-05, 5.31824121259937e-05, 9.09232801786393e-06, 2.3014353456940786e-05, 7.136034008501136e-05, 0.47279355134619366, 0.5269843437452129]",5.278200060803807,0
2021-04-30,2021-04-30,2021-05-28,2021-05-01,101,101,False,0,2,0.759205827666102,1.4307944443522694e-08,0.9998913943710981,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2809188757892477e-24, 1.077323373025563e-22, 1.4664171046720537e-24, 2.1810742159754257e-22, 3.654377754843237e-23, 4.402474857570516e-22, 1.0297528176276137e-22, 6.077453910297146e-23, 3.309594345307016e-22, 2.5338090240927635e-24, 4.585700387073143e-22, 2.5233893907396707e-25, 2.401634380164543e-22, 7.195830808854361e-24, 2.127863947574826e-23, 2.471505559439973e-24, 2.9403095522997286e-21, 1.079191631614682e-21, 9.516457096791107e-27, 2.4789821568039044e-22, 6.35254987882646e-22, 8.92782767285877e-12, 3.8677887815240096e-10, 3.3248624658413553e-10, 1.5389771024332164e-09, 1.961975027050415e-09, 1.4268391976722885e-09, 9.83871080666076e-10, 5.213409996031879e-09, 9.793331071404602e-10, 5.4723918939810526e-11, 4.830457978284391e-09, 1.5997338252573058e-08, 3.884885010302261e-09, 9.532727483737475e-11, 4.508505168484588e-10, 3.6045251299066657e-09, 5.240016910725098e-10, 7.502939872875062e-09, 2.000731452926134e-07, 1.476750593319219e-08, 2.4039378677468415e-08, 2.6625004118699504e-08, 1.1617682541998498e-07, 6.144656215629831e-08, 5.636690387462041e-10, 3.7664995721109033e-07, 1.79390856411906e-07, 4.3673194317657903e-07, 1.5448471396966142e-07, 3.356186637195364e-08, 1.4920090073649283e-08, 8.408239581819954e-08, 7.313361468399963e-07, 6.54706666108416e-08, 7.314351157591159e-07, 6.585213215170344e-08, 7.017746372983384e-06, 1.6585251171657327e-07, 3.5916515958056477e-07, 3.1337220569693364e-07, 1.3470624202856477e-06, 6.317464676748999e-07, 1.6178044138200923e-07, 1.2375480355960368e-06, 2.1531771949149473e-06, 1.2900472605581962e-05, 1.193859345079654e-06, 1.6416679003021863e-06, 2.12498716763006e-06, 2.5065398813327173e-06, 4.5046833725395214e-08, 9.728989613053875e-07, 3.753295919202956e-06, 2.0249302896323842e-05, 7.3490435467745435e-06, 1.0443910657497928e-05, 2.8669766754040122e-05, 0.47373058396117845, 0.5261608104099198]",5.278200060803807,0
2021-05-28,2021-05-28,2021-06-30,2021-05-29,101,101,False,0,2,0.7580612294233332,1.4493717164808438e-08,0.9998848270586005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3085322115310852e-24, 8.945160572874258e-24, 1.0053910499127928e-23, 1.2207116044382714e-23, 3.1950960305930557e-23, 5.231083506592545e-22, 1.147252677101517e-22, 8.969044501308697e-23, 1.3613863152773914e-23, 1.4240997071184847e-22, 4.828194902460791e-23, 2.832485755415754e-22, 2.0682453238464288e-23, 4.1679137991987333e-23, 2.2690726010840226e-22, 2.9271486645720296e-22, 6.761761989901981e-22, 1.7795135349362209e-22, 1.0681570199730138e-22, 5.162841198293292e-22, 4.117204138306501e-22, 3.1613111907413255e-11, 2.82762260953601e-10, 1.5637427242632008e-13, 4.702057478837013e-12, 6.550683733783246e-09, 4.074935156931566e-10, 6.981996901644541e-10, 3.295526953961994e-09, 4.988626343724273e-09, 2.4521984211398796e-09, 1.4623703731389275e-08, 5.823626704759474e-09, 4.85046901621962e-09, 3.1801545522070414e-09, 8.615986816015021e-11, 4.913453242536628e-09, 1.8744920823899336e-10, 1.923277129903226e-09, 2.1193625173782852e-07, 5.161073986415151e-09, 2.1470659644426423e-08, 5.959342634496015e-09, 1.214326828983719e-07, 6.390793162600067e-10, 2.3296921668654627e-07, 4.062254717273866e-07, 3.064675051704777e-10, 3.8203492538250633e-07, 1.7448293922947047e-07, 6.84150577511868e-09, 3.597188883590638e-08, 6.315939425926101e-08, 6.460577857150775e-07, 3.8733810374073606e-09, 1.1607070663290422e-06, 1.4877422901830683e-07, 5.381756524988647e-06, 8.986376436891158e-08, 1.8177978829149848e-07, 7.557265176657332e-08, 2.526551745977874e-06, 1.1802086045550702e-06, 3.3575563887569177e-07, 1.8537167391736034e-06, 2.7661207747011763e-06, 1.149265389762596e-05, 6.968404587700195e-07, 2.245536297770328e-07, 2.149337184958199e-06, 3.003317822854276e-06, 6.292593185491359e-08, 1.3552601685712963e-06, 4.006786472053022e-06, 1.4354501507594847e-05, 1.8412495918358048e-05, 1.0875230192947403e-05, 3.0465408364024383e-05, 0.47464826811973915, 0.5252365589388612]",5.278200060803807,0
2021-06-30,2021-06-30,2021-07-30,2021-07-01,101,101,False,0,2,0.7549377621248083,1.0239352955917606e-08,0.9998922011770918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3155390165790342e-23, 1.0343205045565842e-26, 5.027417555891459e-24, 3.2813286413592773e-22, 2.954859876416633e-22, 5.360403207090001e-25, 3.957051189098274e-23, 1.4426598004229546e-22, 1.743052859677071e-24, 6.084911493893656e-25, 1.635884492770426e-23, 2.8120952655544217e-23, 4.221712563759276e-24, 1.3184684399716112e-24, 2.7411333885336168e-21, 9.64921840884529e-22, 1.573913552170795e-22, 3.527881534809275e-23, 7.28524760504027e-22, 2.0768663402708597e-21, 2.5825129528828623e-23, 2.7222489298803192e-11, 4.7920058237974494e-11, 1.2359293950821893e-09, 2.5699088933898575e-11, 1.1599319211482036e-09, 3.2129489748019817e-13, 7.986796825256642e-10, 7.718391877169351e-09, 1.8931241238412484e-09, 1.873177964854445e-09, 1.506491863465624e-08, 5.320813707071609e-10, 1.0723494757131411e-10, 1.3905762476746315e-09, 4.706206661331639e-09, 1.8591692027051458e-10, 2.5831798954238097e-08, 5.786212051063343e-09, 9.100751935061343e-08, 3.491649430237046e-10, 4.141030778485975e-09, 8.372778895845284e-09, 1.3431968329457333e-07, 8.058569030082813e-10, 3.5560537193582544e-07, 9.69051689885447e-12, 3.371011126273188e-07, 6.4480129844220194e-09, 2.6451280225354743e-07, 2.581094995632459e-08, 9.661688391547772e-08, 1.0175156742583846e-07, 7.867776577786091e-08, 6.508589816041915e-07, 1.9429686679247283e-08, 3.933657924679369e-07, 4.292342976394278e-06, 2.266954264173561e-07, 1.4128140930078032e-08, 2.969668990830509e-07, 4.136975686547953e-07, 2.9613285487816492e-08, 2.1163484819716887e-08, 4.027261266376108e-07, 7.230332495274636e-06, 1.1506454201074708e-05, 9.001072709403688e-07, 1.7748129931265912e-09, 1.5846780617275498e-06, 3.6976652273070593e-07, 2.383574542427949e-06, 1.3563763446494585e-06, 2.0444415944284654e-06, 1.1229538405929678e-05, 2.6473967433351696e-05, 3.6703287860412914e-06, 3.071257853233264e-05, 0.4725730262248974, 0.5273191749521943]",5.278200060803807,0
2021-07-30,2021-07-30,2021-08-31,2021-07-31,101,101,False,0,2,0.7540522247057977,1.1473477112088644e-08,0.9998900105059013,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.66694840055331e-24, 6.779750747119408e-24, 3.598041470494816e-23, 6.285600252512904e-23, 5.247493327781298e-22, 1.2605244508591973e-22, 1.558101707922758e-23, 1.266422734213994e-23, 1.9904913161172283e-22, 1.5111124342043182e-21, 1.0827637992307317e-22, 1.5133256819877375e-22, 5.154941628184435e-22, 3.60949045472494e-22, 2.533635496928781e-22, 4.8082535700331575e-23, 5.455117161054139e-23, 3.135391775187192e-23, 2.3598287854141346e-22, 1.87227027748816e-22, 2.461719226714479e-22, 6.52444799953171e-11, 8.801014483355482e-12, 3.4350192658418933e-12, 4.3567743222683625e-10, 5.591624310437808e-11, 4.846481565899437e-10, 1.895373816687504e-11, 1.8832127049433372e-08, 8.263898833279614e-10, 1.0748832630964904e-09, 8.977244372098075e-09, 1.3285393975268407e-08, 1.665504018935735e-09, 3.764289173032234e-10, 2.8729375360263923e-09, 5.393256186379167e-11, 4.138963857343821e-09, 6.014005406314958e-08, 7.359661157029931e-11, 9.193438191495676e-10, 2.1359544372869175e-08, 8.008523792431082e-09, 2.3178977893012243e-07, 4.831938250213459e-09, 3.113446053063914e-07, 2.0621497762376747e-07, 3.4388165716615796e-07, 2.607246021103523e-07, 2.3705786755899894e-08, 1.4061455527201977e-09, 1.981442922387034e-08, 1.6392559459631044e-07, 1.787564661461621e-07, 8.557571866551816e-09, 2.1709100656981719e-07, 2.766632901868144e-07, 1.3574373877042062e-06, 3.370819028737601e-06, 2.8740838104480065e-08, 1.979242852846404e-07, 8.106836607743088e-07, 6.481893463931652e-07, 1.892653561029925e-09, 3.1466617598954923e-09, 8.44576706539007e-08, 1.9026513222808026e-05, 8.529460397639942e-07, 2.548649982283588e-06, 3.167441416831169e-08, 7.920687595723662e-07, 2.1099460131652433e-06, 2.942681512295137e-06, 3.483375913124219e-06, 1.2544590473003802e-05, 2.140800911599944e-05, 4.675548205539655e-06, 3.06778135195283e-05, 0.4699329809326356, 0.5299570295732658]",5.278200060803807,0
2021-08-31,2021-08-31,2021-09-30,2021-09-01,102,102,False,0,2,0.7559967095126715,1.3225067164895308e-08,0.9998232934095129,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.103351639896587e-25, 4.8763065000515e-25, 1.2583893000170347e-23, 3.3584840294128266e-22, 4.47381671100925e-23, 4.516295425844153e-24, 8.253396950339053e-23, 4.1423315193384033e-22, 1.2136461899960916e-21, 2.0178378142676867e-22, 6.584118203893135e-23, 5.6078480198498526e-24, 5.561106567032833e-25, 1.045189626903431e-23, 5.1777705332652206e-23, 1.375380429032161e-25, 2.1252215078760856e-21, 2.730763908038023e-23, 1.779351388757711e-22, 1.4069578830261718e-21, 2.2670386988640272e-10, 3.095582023145752e-13, 2.052047937131858e-11, 2.2268271235904624e-14, 8.791626164301342e-11, 7.522028082697071e-09, 5.100294498542683e-09, 4.313627905183103e-09, 2.484049302900807e-09, 7.08676963555911e-10, 9.59621307864802e-09, 7.677071041666805e-10, 1.135515297584004e-10, 9.270797687591089e-09, 5.320760562810199e-10, 9.529539980182304e-11, 2.2838394545878833e-09, 6.173283424587763e-08, 1.2558123781788993e-10, 1.586333389375455e-09, 3.67188940488388e-08, 4.035191004429212e-08, 1.1309220659402702e-08, 2.2159339587049787e-07, 2.7920713745981497e-07, 8.126265399468928e-08, 9.638229799513907e-08, 1.2541212959610664e-07, 7.53301305347097e-08, 2.1679324178042066e-08, 7.140518332969717e-12, 5.165260952008567e-07, 1.1306668654866002e-07, 9.76268163602115e-08, 1.4747681784191336e-08, 7.039438090116013e-07, 1.4779606987133267e-06, 2.7489517720665694e-06, 2.727040583353518e-07, 2.346450389584366e-07, 1.0029426311050748e-07, 4.6046186618683644e-07, 3.946300404537032e-08, 3.23284958321388e-08, 5.116383357607467e-08, 2.3809636430232335e-05, 2.067610682072705e-06, 2.6214720403748384e-06, 9.575515070017297e-08, 4.102918648823474e-07, 3.0487250807029917e-06, 1.5429886441975236e-06, 1.4459684438458793e-06, 3.6719180280177605e-05, 3.6012229011216864e-05, 1.1789826609225223e-06, 5.979404346452739e-05, 0.46883830723350883, 0.5309849861760042]",5.30768096208106,0
2021-09-30,2021-09-30,2021-10-29,2021-10-01,103,103,False,0,2,0.7524137884836446,1.2079031157681336e-08,0.9998226297541916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.863574413550939e-23, 1.2359082668011093e-25, 1.50356081104816e-23, 1.2760504383921245e-22, 5.104108729282936e-23, 4.139285242439318e-24, 2.594830060677178e-25, 2.0805670775786858e-23, 2.2551993197294495e-22, 3.417094902521747e-24, 5.918208067445226e-23, 2.307456254145529e-22, 2.2320818695503814e-23, 3.850540417277675e-23, 2.428132770568066e-23, 2.3846673340284024e-22, 1.1918366103844853e-21, 1.9354662581501906e-22, 4.1354957265285737e-22, 3.7914175129238645e-22, 2.534364457309654e-21, 2.386631298000189e-10, 9.719076895808112e-12, 1.2082305677425492e-09, 2.747894994503447e-12, 9.807882068434095e-11, 8.6436902741768e-09, 2.214044247315771e-09, 6.809962504076186e-11, 1.2342358932890252e-10, 1.0887084921964365e-10, 4.6118375892908933e-10, 2.3242323975829797e-08, 4.109438673342102e-09, 8.504262409143076e-09, 2.685473857797491e-08, 8.243717521163367e-12, 1.648391446786145e-09, 6.028940705695058e-08, 4.440098399369486e-10, 6.408841329791204e-08, 2.156326324247537e-08, 2.815339073011007e-08, 3.5001227943343386e-07, 4.0820830369224055e-08, 4.212959235459844e-08, 3.042991445626194e-07, 2.3883733074940074e-07, 1.1698959356314355e-07, 2.9699682283489863e-08, 5.012069576569333e-10, 8.217079336101863e-08, 6.471600821396554e-07, 1.1384779226272408e-07, 3.2982444322192963e-09, 6.80079971986957e-07, 4.837344544696465e-07, 1.2790009328917603e-06, 3.2611368959070737e-06, 3.668890408166083e-07, 1.5359502168516346e-07, 7.959239181282246e-08, 7.748195616409905e-07, 1.0176710520210263e-07, 9.287390301867935e-08, 4.384523518308877e-07, 2.0338866753879153e-05, 9.815373809173667e-07, 1.124902679395664e-05, 4.512580066164702e-07, 2.68496137655554e-07, 2.269091742927235e-06, 3.0693253279010576e-06, 2.4117390195798167e-05, 8.986347939192788e-07, 4.445127250835214e-05, 9.91273568366048e-06, 4.942881964445849e-05, 0.4661882730273366, 0.5336343567268549]",5.337099200937806,0
2021-10-29,2021-10-29,2021-11-30,2021-10-30,103,103,False,0,2,0.7497897562602375,9.551238347253105e-09,0.9998865355879332,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.667163078483213e-27, 3.8990530282976697e-25, 1.8330037455658228e-22, 5.166021469212697e-24, 8.435616223334322e-23, 1.125374604783275e-22, 6.6521508057665e-22, 1.4144549072254716e-21, 2.5316550468774484e-21, 4.192112089486146e-23, 9.72887033287024e-22, 1.701352256596391e-21, 2.1491480221940496e-22, 1.3057929817064104e-22, 4.582526910110463e-22, 6.349694093095871e-23, 6.519085791757054e-23, 4.605916938483479e-22, 9.874915322243213e-22, 1.2338634158363504e-21, 1.780053428245783e-22, 2.3719756901277147e-10, 1.860415989136772e-10, 6.499929646572907e-10, 2.3163088326593975e-09, 1.0825751990055184e-10, 1.9944818055412743e-09, 9.357701504864267e-10, 1.5077473300354672e-09, 1.5274612086949845e-11, 2.5750932086820037e-13, 4.394772068127572e-10, 2.054156015163725e-08, 3.769902503367001e-09, 2.699649748474539e-08, 6.4806346081008e-09, 7.457590005853626e-09, 7.751408017043226e-09, 2.4069947390685082e-08, 2.687727920746502e-09, 3.1369764308354194e-09, 6.033975578414616e-08, 9.728269387869685e-09, 2.740659862524919e-07, 2.3030669464661328e-10, 1.1273087635033523e-07, 8.636884930019862e-08, 3.0870033867187285e-07, 4.9464408506868324e-08, 3.572137248304297e-08, 9.611485027056664e-09, 3.137214307897929e-09, 5.751448228172139e-07, 7.73232755113754e-08, 2.79730386768879e-07, 1.635305734333868e-06, 1.0277545199035263e-07, 8.696650809842008e-07, 1.6960773895812912e-06, 3.011002072207293e-07, 8.992966120795233e-08, 1.201502129064253e-07, 1.0440468197369178e-07, 2.2218079613698412e-08, 3.78607541515377e-08, 9.100362381600497e-08, 1.6242265274545794e-05, 7.267143784847653e-07, 2.3484765293775005e-06, 3.6517669017292813e-07, 1.1977053878090613e-07, 5.309476494777278e-07, 7.83514182886869e-06, 1.5190077243655738e-05, 2.2477747322859176e-05, 7.008967061082773e-06, 5.907642059024506e-06, 2.764741421336395e-05, 0.46971014944017964, 0.5301763861477535]",5.337099200937806,0
2021-11-30,2021-11-30,2021-12-31,2021-12-01,104,104,False,0,2,0.7471889249149808,2.1841939802002755e-08,0.9992493666224483,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.810635605679335e-26, 7.043377125789109e-24, 2.8524910626440436e-24, 3.911576752549862e-23, 5.419757357348401e-22, 2.1434682692389137e-22, 1.2851682731421238e-22, 9.701603589682321e-22, 4.469778209183358e-22, 2.064870700769367e-21, 8.538910439800709e-23, 5.389357798649701e-22, 6.39872591960717e-22, 3.2443730471426e-23, 1.350730763141933e-22, 1.660158380199593e-25, 2.7121973626580295e-23, 2.5556245527298178e-23, 4.875797061024664e-22, 5.745199621949037e-25, 7.43355212148714e-22, 5.285547080815081e-11, 3.329210805710303e-10, 2.5068914380696248e-09, 3.932346087544953e-09, 6.574829273833728e-17, 5.553872294861362e-10, 4.8430033567383756e-09, 3.12047220016171e-12, 5.310533020342767e-09, 9.425154111713079e-11, 2.267902729822555e-09, 1.9486276734164082e-08, 1.1068208173655913e-08, 3.066785515062431e-11, 3.877927545231795e-10, 3.0457444125120308e-09, 7.886508439118914e-10, 3.9850524738700193e-10, 2.3786420432447278e-08, 1.649404427043952e-08, 4.547140366786976e-08, 2.1481072903884528e-09, 5.339278281445717e-07, 1.287187435453742e-07, 4.019597624830759e-09, 1.0067657455233473e-07, 7.267765546125317e-08, 1.6607810357175962e-07, 7.509815296310035e-09, 7.392929691929109e-08, 5.751168306143935e-07, 2.5166486597895667e-07, 5.775798840917326e-08, 2.6859076945559372e-09, 1.5536529792701218e-06, 2.991857104989445e-06, 3.9306656412530667e-10, 1.010739935111693e-06, 5.718040899009744e-07, 1.7469912832213238e-08, 5.050316398313506e-08, 2.2380296340713508e-08, 5.991633247767511e-07, 6.736112331562017e-08, 8.709768603270449e-08, 3.617149352885728e-05, 6.872795324290187e-06, 9.598202351958137e-06, 2.8529294850298493e-07, 2.5579722201074497e-07, 4.4990709867438096e-08, 1.8100698407599524e-06, 0.000169483302219972, 0.00023192765471280547, 2.1435039514563778e-05, 4.506319739421446e-05, 0.0002185953508587828, 0.4594796766112323, 0.539769690011216]",5.366455687750868,0
2021-12-31,2021-12-31,2022-01-31,2022-01-01,104,104,False,0,2,0.7477603365129307,2.1938698541502775e-08,0.9992515367554858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.978908209442221e-24, 4.1452656153401915e-23, 1.1078420986344363e-22, 4.863731671969367e-22, 3.12970830510359e-24, 1.6832570821922748e-22, 1.464799788665791e-23, 2.2495560818116686e-22, 4.537429053590873e-22, 1.109856848001292e-21, 1.5691498683355426e-23, 1.0568137324843504e-22, 3.0793526690369545e-24, 5.339248601364801e-22, 2.0010804326649505e-21, 1.5555881072940667e-21, 8.893986584816277e-25, 5.07730341051486e-22, 2.655006059462225e-22, 4.452859391398677e-22, 9.250152490605221e-25, 4.252293468351194e-22, 9.803598407662887e-11, 7.382439725641333e-11, 1.6259785403084277e-10, 1.0451084866391085e-12, 2.224103793205545e-09, 1.248824589756263e-08, 1.197991449987117e-09, 4.730204722602836e-10, 7.384666865158326e-09, 4.455330176832051e-09, 1.8505242517811745e-08, 5.2337396300361924e-09, 4.133068224868128e-09, 1.2934914526573914e-09, 5.008417328735931e-09, 3.6706590861560414e-10, 1.266528340179905e-08, 1.2871698900179517e-08, 5.8520433756384885e-09, 4.646475592079179e-09, 2.2088783741431398e-08, 5.137789335592634e-08, 1.5318458837329377e-07, 2.6208819809173887e-07, 8.734147465378233e-10, 1.3875137908081596e-07, 6.159304990817166e-08, 5.954122109859356e-07, 7.661940500792936e-08, 2.5687703610554655e-07, 2.079614847884655e-07, 6.010467370222854e-09, 2.25973622392936e-08, 4.502518427906226e-09, 1.719280713563291e-06, 1.9198751656441923e-06, 1.4261870502185774e-07, 2.1269685109710433e-06, 1.704022420997324e-07, 1.390665836956251e-07, 1.344803414942716e-08, 2.001432063969498e-07, 9.05753774016268e-07, 4.833351355899988e-07, 1.389130520649363e-06, 3.957503783858366e-05, 3.3416244814955275e-06, 7.270281994270376e-06, 1.8879307582885514e-07, 3.778715466106292e-07, 4.501155376155387e-09, 4.6227383830218855e-07, 0.00015210925340003857, 0.0002680100612673655, 8.222510145424114e-08, 3.7776222080670726e-05, 0.00022809600296183765, 0.45913153703840565, 0.5401199997170802]",5.366455687750868,0
