decision_date,date,window_weeks,strategy_id,ticker,weight,feature_end,label_start,n_names,n_sleeves,include_thin,n_thin,thin_lt5y,configuration_id,role
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VEA,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,MUB,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,NYF,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,JNK,9.372436830031961e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCZ,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,ACWI,2.46758737239886e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,ACWX,1.1155125892126477e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VT,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,HYD,4.527448895517327e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHX,2.24441534299494e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHF,2.2003858079556033e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHA,8.132372086568783e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VCIT,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VCSH,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,ILTB,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,PPLT,1.194170892337622e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,CORN,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,EMLC,4.065546462493234e-21,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHP,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VOO,1.5125582798338592e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VOOV,5.391246852016014e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VIOG,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VTWO,1.4002830597134364e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,STIP,0.01644818302309587,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SCHM,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,WEAT,3.865146547928616e-05,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,CANE,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SOYB,0.000604771680372093,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,USMV,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,EFAV,6.47274437214974e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,LEMB,1.5442116775232632e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SPTS,0.0045716433592943246,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GOVT,3.1080656391082307e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,TAGS,0.0005561406145670384,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SJNK,2.6312948010122436e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IEFA,3.021383196091217e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,SPHD,1.0565099844943583e-18,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,VLUE,4.85827344966527e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,FTSL,0.0026455774650596094,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,QUAL,7.962725131435452e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,USFR,0.15276377046130704,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,HEFA,2.0298463496473971e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IEUR,6.453699333144145e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,IQLT,1.699518806814868e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GBTC,3.0749784640373607e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSLC,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSIE,4.650300900000614e-20,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSEU,2.768984079519454e-19,,,,,,,,,
2021-03-31,2021-04-30,156,nonlinear_shrinkage_gmv,GSJY,1.9222641786509522e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPY,1.5058364603534242e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,MDY,2.1433003964409964e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,EWJ,2.515121971771199e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,QQQ,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IVV,1.6466254327590276e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWB,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWM,2.0455746713660955e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWD,3.4256827750345202e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJR,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJH,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IVE,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWV,1.968068063217521e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWO,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWN,3.8166200877494825e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJT,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJS,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJK,4.662930312483295e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IJJ,1.7618896056853937e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IEV,2.4095716016645026e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IUSV,4.4981371594431144e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPYV,3.605359506330162e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VTI,5.145368199557411e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWP,1.2084091873442736e-17,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWS,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,EFA,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IWR,5.894015299571669e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VXF,3.771318059337908e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,TLT,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IEF,0.03108601768060263,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SHY,0.1132805541190976,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,EEM,3.977772298598658e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,AGG,0.0030232792994431966,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,TIP,0.0027172083909333357,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VTV,4.028635056608266e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VO,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VV,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,GLD,2.4532523382941024e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IAU,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VGK,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,EFV,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,PID,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SPYM,2.210252004829406e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,USO,7.736446894470094e-05,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SLV,2.935293190390998e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,DXJ,0.02348390613468138,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,GSG,0.001656216916426833,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SHV,0.1253079146159467,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,IEI,0.07769092934271214,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VEU,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,BND,0.006483460673382094,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,BSV,0.08048805378110646,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,BIL,0.12777978512865928,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VEA,4.279028032348556e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,MUB,2.492185988118867e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,NYF,9.237061267966922e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,JNK,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SCZ,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,ACWI,5.0786453440555274e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,ACWX,1.2652129454907611e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VT,7.600240502082734e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,HYD,4.507227290983909e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SCHX,3.2038086966807333e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SCHF,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SCHA,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VCIT,4.3888943142513594e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VCSH,0.00969163053649434,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,ILTB,1.5437006456245804e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,PPLT,7.907135048902276e-19,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,CORN,0.004621165964985844,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,EMLC,1.8268582070256577e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,SCHP,0.0019472122647544673,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VOO,0.0,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VOOV,2.009150488681084e-18,,,,,,,,,
2021-03-31,2021-04-30,156,minvar_lw_weekly,VIOG,0.0,,,,,,,,,
