ticker,mom12_1,vol_63,vol_252,maxdd_252,quality_v1,er_missing,liquidity_adv,liquidity_missing,history_years,benchmark_used,category,z_mom12_1,z_quality_v1,z_neg_vol_252,z_neg_maxdd_252,z_liquidity_adv,z_neg_vol_63,S_i,thin_history,rank
GTEK,0.45501155508130675,0.3534374661650477,0.32158802637405304,-0.19643143023727216,1.1796639227911612,True,,True,2.704996577686516,VOO,Commodities / Metals,10.416339024934357,8.62258615423439,-1.422453297090488,-1.0172613730220939,,-0.9804597072910213,4.865568060157466,True,1
QQQM,0.1990258252503847,0.21032071462816207,0.1949091961385707,-0.11960721354337922,0.5172549689698006,True,,True,2.704996577686516,VOO,US Large Growth / Tech-tilt,0.6744907594765952,0.6744907594765952,0.6744907594765952,0.6744907594765952,,0.6744907594766035,0.6070416835289361,True,2
IJK,0.1850910964027721,0.15650314807546828,0.17816959424915826,-0.09923718023748163,-0.049698545108516706,True,,True,2.704996577686516,VOO,US Mid Growth,0.6744907594765952,0.6744907594765953,0.6744907594765952,0.6744907594765952,,0.6744907594765952,0.6070416835289357,False,3
BBC,0.9763771106876507,0.3464267394906336,0.36801330319936754,-0.15099474522455825,1.9261430863632851,True,,True,2.704996577686516,VOO,Specialty / Other,1.2717663293702706,0.9297516845806455,-0.3878018284051294,0.3795581732799097,,-0.24738549847096347,0.6003619967639114,False,4
XBI,0.6287190194345589,0.2926574347520075,0.27919619187375644,-0.10512542245427237,1.6089395458862543,True,,True,2.704996577686516,VOO,Specialty / Other,0.1683852573780014,0.41922983437254485,0.9611796905480611,0.9694233456732807,,1.1015960204822255,0.49999329226384914,False,5
GSEW,0.1566317140196083,0.10068891551016403,0.12293064430198195,-0.07718836683333563,-0.26319515679140376,True,,True,2.704996577686516,VOO,Commodities / Metals,0.46314704772925974,-0.4581884578112613,0.9422238101374304,1.4731422148951785,,0.8205830895406099,0.42773105809788436,False,6
IJT,0.20609199680982226,0.14349217008228415,0.17288100697879913,-0.09081485453536453,0.19295821298589685,True,,True,2.704996577686516,VOO,US Small Growth,0.6744907594765952,0.0,0.6744907594765952,0.0,,0.6744907594765952,0.3372453797382976,False,7
IJR,0.22747049290683252,0.1280725467284131,0.16448328940186088,-0.08684564311901566,0.3886989621740799,True,,True,2.704996577686516,VOO,US Small Blend,0.6744907594765952,-0.6744907594765945,0.6744907594765961,0.6744907594765952,,0.6744907594765952,0.26979630379063835,False,8
VIOG,0.20525952663806213,0.1470856382913108,0.17382726785473182,-0.09035114631593577,0.2337879059511148,True,,True,2.704996577686516,VOO,US Small Growth,0.0,0.6744907594765952,0.0,0.6744907594765952,,0.0,0.26979630379063807,False,9
QUAL,0.1525929322653592,0.10341996984286687,0.12132570694848517,-0.09034563262566098,-0.1299341900295648,True,,True,2.704996577686516,VOO,Sector / Factor / Thematic,0.6744907594765952,0.6744907594765951,-0.674490759476595,-0.6744907594765953,,-0.6744907594765952,0.13489815189531906,False,10
VOO,0.16133979078640426,0.11516393843395327,0.1277039995112221,-0.08900460838694169,,True,,True,2.704996577686516,VOO,US Large / Broad Blend,-0.6744907594765952,0.0,0.6744907594765884,0.6744907594765952,,0.6744907594765586,0.0337245379738269,False,11
VXF,0.1631951255159929,0.143049375554056,0.17636311009961822,-0.10210775578587439,-0.13701383445829615,True,,True,2.704996577686516,VOO,US Mid Blend,0.0,0.0,0.0,0.0,,0.0,0.0,False,12
VLUE,0.634068346970126,0.21740092792348623,0.20655565924837643,-0.09038381311657251,2.657686002047259,True,,True,2.704996577686516,VOO,US Large Value,0.0,0.0,0.0,0.0,,0.0,0.0,False,13
EEM,0.27963354573533095,0.2735685831514931,0.25081703040820313,-0.14239572419625923,0.6808172669134421,True,,True,2.704996577686516,VOO,International EM Equity,0.0,0.0,0.0,0.0,,0.0,0.0,False,14
VEA,0.24617650080655307,0.16013296705221483,0.17414136684413056,-0.11626285369374745,0.5486022315922374,True,,True,2.704996577686516,VOO,International Developed Equity,0.0,0.0,0.0,0.0,,0.0,0.0,False,15
VTI,0.16252237095957622,0.11541901075986691,0.13051040553728704,-0.0891820832504917,-0.09363773660625105,True,,True,2.704996577686516,VOO,US Large / Broad Blend,0.6744907594765952,0.0,-0.6744907594766019,-0.6744907594765952,,-0.674490759476632,-0.0337245379738326,False,16
USMV,0.07926037354831816,0.09216436079799191,0.08604670785597282,-0.0645637606747057,-0.7266267772012145,True,,True,2.704996577686516,VOO,Sector / Factor / Thematic,-0.6744907594765952,-0.6744907594765952,0.6744907594765955,0.6744907594765953,,0.6744907594765952,-0.134898151895319,False,17
GINN,0.1288629855943666,0.14169252158818935,0.16791534582920342,-0.13184081947213167,-0.3319324073511614,True,,True,2.704996577686516,VOO,Commodities / Metals,-0.46314704772925974,-0.8907930611419291,0.40675770881576,0.33172014593109644,,0.5283984294125805,-0.22445077992160276,True,18
IWM,0.22393302825068062,0.1354801968820207,0.1873595532549746,-0.11028496929304943,0.4443732613084125,True,,True,2.704996577686516,VOO,US Small Blend,-0.6744907594765952,0.6744907594765959,-0.6744907594765944,-0.6744907594765952,,-0.6744907594765952,-0.2697963037906378,False,19
GVIP,0.1161915324032734,0.28999764508363235,0.2362590713416476,-0.16360701719649728,-0.11759053499273917,True,,True,2.704996577686516,VOO,Commodities / Metals,-0.8858344712239307,0.4581884578112611,-0.40675770881576,-0.33172014593109644,,-0.5283984294125805,-0.28839482659702137,False,20
QQQ,0.1982246507200589,0.21258705173765918,0.19636824511847453,-0.11964372276774393,0.5122967079109605,True,,True,2.704996577686516,VOO,US Large Growth / Tech-tilt,-0.6744907594765952,-0.6744907594765952,-0.6744907594765952,-0.6744907594765952,,-0.674490759476587,-0.6070416835289353,False,21
