strategy_id,cash_like_share_mean,short_duration_share_mean,near_cash_share_mean,cash_duration_share_mean,computable,not_computable_reason
minvar_lw_weekly,0.0,0.0,0.0,0.0,True,
nonlinear_shrinkage_gmv,0.0,0.0,0.0,0.0,True,
