period,period_role,window_weeks,strategy_id,n_months,start,end,AnnReturn,AnnVol,Sharpe_exBIL,Sharpe_rf0_legacy,MaxDD,turnover_per_year,HHI_mean,eff_N_mean,names_held_mean,eff_N_category_mean,largest_category,largest_category_share,low_vol_share_mean,usmv_share_mean,efav_share_mean,gswo_share_mean,top_holdings_avg,p_one_sided_hac,p_one_sided_boot,delta_log_var,p_gate,lw2008_p_vs_primary,NW_t_vs_primary,DSR_exBIL_repo,DSR_exBIL_rf0_legacy,role,trial_count,avg_N_eligible,min_N_eligible,max_N_eligible,DSR_exBIL,sr_var_cross_trial_monthly
full 2016-01..2026-09,full window,156,buy_hold_acwi,129,2016-01-29,2026-09-16,0.12185298035765357,0.1439140060618615,0.7277933856604668,0.8467068890103373,-0.25738424518897485,0.046511627906976744,1.0,1.0,1.0,1.0,Global Equity (incl US),1.0,0.0,0.0,0.0,0.0,ACWI 100.00%,0.9999999995820443,1.0,0.5692501386191813,1.0,0.27981669205934867,2.3899057700193373,0.8900161220065027,0.9468428918634703,reference,8,83.3953488372093,70,94,0.5272087510122623,0.019488181072359705
full 2016-01..2026-09,full window,156,buy_hold_usmv,129,2016-01-29,2026-09-16,0.10259345186796587,0.1203439623378598,0.6977323928207804,0.8525018611232009,-0.19055940910233926,0.046511627906976744,1.0,1.0,1.0,1.0,Sector / Factor / Thematic,1.0,1.0,1.0,0.0,0.0,USMV 100.00%,0.9933985032039885,0.99000199960008,0.21152624736813053,0.9933985032039885,0.33080303757046703,1.390044628773727,0.8704318885207323,0.9488611292501896,reference (book-eligibility comparison),8,83.3953488372093,70,94,0.49043746444601377,0.019488181072359705
full 2016-01..2026-09,full window,156,equal_weight,129,2016-01-29,2026-09-16,0.11498153969419245,0.1545581042008386,0.6473149274184221,0.7439373062235619,-0.2529592442279732,0.07571664633483649,0.012076339989523737,83.3953488372093,83.3953488372093,6.308918494655337,Specialty / Other,0.27170772304880053,0.025645999654942398,0.012076339989523736,0.012076339989523736,0.001493319675894922,ACWI 1.21%; ACWX 1.21%; EEM 1.21%; EFA 1.21%; DVY 1.21%,1.0,1.0,0.711958465700568,1.0,0.5905276085658688,1.7476266938586045,0.832419956388494,0.8996112687049025,null,8,83.3953488372093,70,94,0.4291172814755278,0.019488181072359705
full 2016-01..2026-09,full window,156,erc_weekly,129,2016-01-29,2026-09-16,0.11281820337207327,0.15004013075770356,0.6492519058050262,0.7519201883012275,-0.250589398768569,0.12369482099223736,0.012529737445819153,80.229562779895,83.3953488372093,5.981069853113865,Specialty / Other,0.27313982162582834,0.037318033138384187,0.016652599582968886,0.01870890186032543,0.0019565316950898824,EFAV 1.87%; ASHS 1.69%; INDA 1.68%; USMV 1.67%; JPXN 1.51%,1.0,1.0,0.6526238498831187,1.0,0.5514364605548651,1.790721428239618,0.8340012928722491,0.9041236468357587,null,8,83.3953488372093,70,94,0.4317901970904694,0.019488181072359705
full 2016-01..2026-09,full window,156,minvar_lw_weekly,129,2016-01-29,2026-09-16,0.077463915337328,0.10826596858038728,0.5506491658729199,0.7154964422621054,-0.22248242971653376,0.6206263368980346,0.3311901617399932,3.19349162935372,4.782945736434108,2.3405536352161223,International Developed Equity,0.4828864512915703,0.6401895659580453,0.2681056152893502,0.372083950668695,5.815329307039059e-18,EFAV 37.21%; USMV 26.81%; ASHS 9.18%; INDA 7.94%; DXJ 5.91%,,,,,,,0.7415279836730784,0.8822781190684292,primary_null,8,83.3953488372093,70,94,0.3185349745594941,0.019488181072359705
full 2016-01..2026-09,full window,156,nonlinear_shrinkage_gmv,129,2016-01-29,2026-09-16,0.07408514494879759,0.1066201095119744,0.5282293945809092,0.6948515180476077,-0.23095302115908078,0.6472997176428098,0.4345741009063637,2.6283810790694653,3.945736434108527,2.13197365229899,International Developed Equity,0.5172783569842592,0.7373122096016848,0.2916195694818438,0.4456926401198409,8.951307874339225e-18,EFAV 44.57%; USMV 29.16%; ASHS 9.05%; INDA 7.06%; DXJ 6.19%,0.15521635234462922,0.1365726854629074,-0.03063746647832133,0.15521635234462922,0.5093995027850313,-1.0132579701643813,0.7173004464923984,0.8684355136427715,method,8,83.3953488372093,70,94,0.2926665977414964,0.019488181072359705
full 2016-01..2026-09,full window,260,buy_hold_acwi,128,2016-02-29,2026-09-16,0.1286125632863493,0.1431371226368893,0.7719828681429918,0.8985269573471449,-0.2573842451889746,0.046875,1.0,1.0,1.0,1.0,Global Equity (incl US),1.0,0.0,0.0,0.0,0.0,ACWI 100.00%,0.9999999999999573,1.0,0.5728246215722352,1.0,0.4267502400223292,2.0945365911686173,0.9132539035860806,0.9618642416027132,reference,8,78.65891472868218,64,91,0.5799454356895849,0.019488181072359705
full 2016-01..2026-09,full window,260,buy_hold_usmv,128,2016-02-29,2026-09-16,0.10488139149780151,0.12060984057872326,0.7123942031742103,0.8695923234335458,-0.19055940910233915,0.046875,1.0,1.0,1.0,1.0,Sector / Factor / Thematic,1.0,1.0,1.0,0.0,0.0,USMV 100.00%,0.9976125368039735,0.99500099980004,0.23034023644156676,0.9976125368039735,0.6489127330269309,0.9297842443964169,0.8784380146673111,0.9533861034673032,reference (book-eligibility comparison),8,78.65891472868218,64,91,0.508287205324101,0.019488181072359705
full 2016-01..2026-09,full window,260,equal_weight,128,2016-02-29,2026-09-16,0.12290318389284716,0.15392604950894312,0.6944209269825725,0.7984560396692729,-0.25519759372318807,0.0791950837357826,0.01281289570636122,78.7734375,78.7734375,6.456766470853095,Specialty / Other,0.26479408362126666,0.023476898638829673,0.011738449319414836,0.011738449319414836,0.0,ACWI 1.28%; ACWX 1.28%; EFA 1.28%; DXJ 1.28%; EEM 1.28%,1.0,1.0,0.7181630590116228,1.0,0.7802342010422477,1.5855548622718254,0.8662295195372475,0.9260782315955349,null,8,78.65891472868218,64,91,0.48653663385850987,0.019488181072359705
full 2016-01..2026-09,full window,260,erc_weekly,128,2016-02-29,2026-09-16,0.1209952376807113,0.1498411835758712,0.697859206154503,0.8074898688947293,-0.25247764849539756,0.10964549446182449,0.013198297515591314,76.33924926317277,78.7734375,6.1339148257158325,Specialty / Other,0.26571251848297767,0.03384058050058097,0.015748060317314627,0.018092520183266344,0.0,EFAV 1.81%; JPXN 1.64%; USMV 1.57%; EWJ 1.56%; DVY 1.49%,1.0,1.0,0.6643703949080182,1.0,0.7476260962510792,1.6117507007651872,0.868627919278607,0.930105808527709,null,8,78.65891472868218,64,91,0.4907386055390026,0.019488181072359705
