date,decision_date,trial_id,r_method,r_null_a,r_null_b,r_null_c,r_null_d,r_active_vs_a,coef_r_mvp,coef_sigma_mvp,coef_u,fc_r_mvp,fc_sigma_mvp,fc_u,rhat_tp,sigmahat_tp,r_star,distance,turnover
2002-07-31,2002-06-28,ft_med_ef21_fc60_sample_sleeves,-0.05694313726389365,-0.09583821286772563,-0.09070990003917229,-0.09395361605730637,-0.13660938129639616,0.038895075603831986,-0.012513099789430696,0.03959688624609109,0.28287186189237323,-0.012513099789430696,0.03959688624609109,0.28287186189237323,-0.0479574413448123,0.07751871841601106,-0.012513099383360704,0.05190728977902714,0.0
2002-08-30,2002-07-31,ft_med_ef21_fc60_sample_sleeves,-0.0016142452502409506,0.0016383243525665025,-0.0006142135483884472,0.0012764173121644986,-0.0021829680752061503,-0.003252569602807453,-0.011986029420860833,0.038062463155656215,0.5071926694049362,-0.011986029420860833,0.038062463155656215,0.5071926694049362,-0.07329039575104314,0.09412018091355286,-0.01198602907682456,0.08307041045734061,0.18938661799521456
2002-09-30,2002-08-30,ft_med_ef21_fc60_sample_sleeves,-0.07563301362049875,-0.08629162625696316,-0.10327966145904058,-0.0892278703763602,-0.07913352413310269,0.010658612636464407,-0.011395390829076214,0.037909053161451024,0.3793020874247109,-0.011395390829076214,0.037909053161451024,0.3793020874247109,-0.059229961753008,0.08642692293655788,-0.011395390475008855,0.0681331776513044,0.159827955669316
2002-10-31,2002-09-30,ft_med_ef21_fc60_sample_sleeves,0.039591445536566405,0.04951216887556133,0.05688944121942185,0.05069301750742546,0.023018158448489385,-0.009920723338994922,-0.01747435763026245,0.04255320340030166,0.3188386233904927,-0.01747435763026245,0.04255320340030166,0.3188386233904927,-0.050513915285412596,0.07234977172760748,-0.01747435714754131,0.044490986570648004,0.17856092814264077
2002-11-29,2002-10-31,ft_med_ef21_fc60_sample_sleeves,0.03606678082126995,0.06297756319664662,0.05704254855451233,0.06228604878483388,0.06591915889677184,-0.02691078237537667,-0.013891604594529258,0.04365774354470548,0.24112380604896302,-0.013891604594529258,0.04365774354470548,0.24112380604896302,-0.04697501311916634,0.08028206481845983,-0.013891604297415107,0.049354359969817276,0.15023896509852477
2002-12-31,2002-11-29,ft_med_ef21_fc60_sample_sleeves,-0.030699122971577085,-0.04631027330058589,-0.04204432613634273,-0.04601293184736027,-0.0359637777777628,0.015611150329008804,-0.010055433247319312,0.0454135449926869,0.17620067464126368,-0.010055433247319312,0.0454135449926869,0.17620067464126368,-0.04619455451227056,0.09733754810435209,-0.010055432905856221,0.06326245497626076,0.08350106461742306
2003-01-31,2002-12-31,ft_med_ef21_fc60_sample_sleeves,-0.023762298798561485,-0.027834529152918057,-0.02939889956418511,-0.027969286898711934,-0.03278628906559152,0.0040722303543565715,-0.010092206804036417,0.04549155068339841,0.18495744616795234,-0.010092206804036417,0.04549155068339841,0.18495744616795234,-0.0480190905906962,0.09923037573864758,-0.01009220646403115,0.06577469010095108,0.036578229323001796
2003-02-28,2003-01-31,ft_med_ef21_fc60_sample_sleeves,-0.016682249060971606,-0.025052623586139296,-0.019334892699353203,-0.024386539723691286,-0.03549623084543353,0.00837037452516769,-0.015458921781900954,0.04286839236275773,0.1921138788332242,-0.015458921781900954,0.04286839236275773,0.1921138788332242,-0.03829670440668087,0.06747273250047436,-0.015458921448944911,0.033569895502326315,0.0628310648491428
2003-03-31,2003-02-28,ft_med_ef21_fc60_sample_sleeves,-0.01574415462286191,0.0017565737505521573,-0.01226345599546302,0.0007322661781758453,0.003741901900613299,-0.017500728373414067,-0.015947858772669174,0.042828527088684384,0.13450742971604812,-0.015947858772669174,0.042828527088684384,0.13450742971604812,-0.03141856611022865,0.060113931025923,-0.015947858298947307,0.02319758585403975,0.017271837556576682
2003-04-30,2003-03-31,ft_med_ef21_fc60_sample_sleeves,0.06357634172040133,0.08439279711713206,0.07539229880392041,0.08368525717877837,0.09047978430386865,-0.02081645539673073,-0.01507980238890278,0.04251253519343682,0.1146173584284003,-0.01507980238890278,0.04251253519343682,0.1146173584284003,-0.028816702922706397,0.058768055873669324,-0.015079802035584195,0.0212824904221307,0.020090914894350855
