date,decision_date,trial_id,coef_r_mvp,coef_sigma_mvp,coef_u,fc_r_mvp,fc_sigma_mvp,fc_u,rhat_tp,sigmahat_tp,r_star,distance
2002-07-31,2002-06-28,ft_med_ef21_fc60_sample_sleeves,-0.012513099789430696,0.03959688624609109,0.28287186189237323,-0.012513099789430696,0.03959688624609109,0.28287186189237323,-0.0479574413448123,0.07751871841601106,-0.012513099383360704,0.05190728977902714
2002-08-30,2002-07-31,ft_med_ef21_fc60_sample_sleeves,-0.011986029420860833,0.038062463155656215,0.5071926694049362,-0.011986029420860833,0.038062463155656215,0.5071926694049362,-0.07329039575104314,0.09412018091355286,-0.01198602907682456,0.08307041045734061
2002-09-30,2002-08-30,ft_med_ef21_fc60_sample_sleeves,-0.011395390829076214,0.037909053161451024,0.3793020874247109,-0.011395390829076214,0.037909053161451024,0.3793020874247109,-0.059229961753008,0.08642692293655788,-0.011395390475008855,0.0681331776513044
2002-10-31,2002-09-30,ft_med_ef21_fc60_sample_sleeves,-0.01747435763026245,0.04255320340030166,0.3188386233904927,-0.01747435763026245,0.04255320340030166,0.3188386233904927,-0.050513915285412596,0.07234977172760748,-0.01747435714754131,0.044490986570648004
2002-11-29,2002-10-31,ft_med_ef21_fc60_sample_sleeves,-0.013891604594529258,0.04365774354470548,0.24112380604896302,-0.013891604594529258,0.04365774354470548,0.24112380604896302,-0.04697501311916634,0.08028206481845983,-0.013891604297415107,0.049354359969817276
2002-12-31,2002-11-29,ft_med_ef21_fc60_sample_sleeves,-0.010055433247319312,0.0454135449926869,0.17620067464126368,-0.010055433247319312,0.0454135449926869,0.17620067464126368,-0.04619455451227056,0.09733754810435209,-0.010055432905856221,0.06326245497626076
2003-01-31,2002-12-31,ft_med_ef21_fc60_sample_sleeves,-0.010092206804036417,0.04549155068339841,0.18495744616795234,-0.010092206804036417,0.04549155068339841,0.18495744616795234,-0.0480190905906962,0.09923037573864758,-0.01009220646403115,0.06577469010095108
2003-02-28,2003-01-31,ft_med_ef21_fc60_sample_sleeves,-0.015458921781900954,0.04286839236275773,0.1921138788332242,-0.015458921781900954,0.04286839236275773,0.1921138788332242,-0.03829670440668087,0.06747273250047436,-0.015458921448944911,0.033569895502326315
2003-03-31,2003-02-28,ft_med_ef21_fc60_sample_sleeves,-0.015947858772669174,0.042828527088684384,0.13450742971604812,-0.015947858772669174,0.042828527088684384,0.13450742971604812,-0.03141856611022865,0.060113931025923,-0.015947858298947307,0.02319758585403975
2003-04-30,2003-03-31,ft_med_ef21_fc60_sample_sleeves,-0.01507980238890278,0.04251253519343682,0.1146173584284003,-0.01507980238890278,0.04251253519343682,0.1146173584284003,-0.028816702922706397,0.058768055873669324,-0.015079802035584195,0.0212824904221307
2003-05-30,2003-04-30,ft_med_ef21_fc60_sample_sleeves,-0.010633263363435551,0.04621100845017294,0.08428682374502595,-0.010633263363435551,0.04621100845017294,0.08428682374502595,-0.027560419879290678,0.07439694044778429,-0.0023582947584264782,0.032237651718922074
2003-06-30,2003-05-30,ft_med_ef21_fc60_sample_sleeves,-0.006677577382164446,0.047878020423673374,0.07860446384380308,-0.008518911572101273,0.0470043471439069,0.11046226796505088,-0.03716767595026453,0.09818127620111186,0.0024628902580097595,0.056490922584774
2003-07-31,2003-06-30,ft_med_ef21_fc60_sample_sleeves,-6.0453154952378963e-05,0.044996188009769594,0.10503085643574547,-0.0017313226860083478,0.043313931605726046,0.2159572956600927,-0.2357470649689197,0.5054308469429459,0.00961127411991822,0.5138059857296814
2003-08-29,2003-07-31,ft_med_ef21_fc60_sample_sleeves,0.0003050811231985966,0.04509320660687725,0.10234401061238396,-0.0001329798055598637,0.04445316673026376,0.14416803438353976,-2.1424744392548485,5.642449518927414,0.010339031746710779,5.987904224291291
2003-09-30,2003-08-29,ft_med_ef21_fc60_sample_sleeves,0.0005772467958418908,0.044334728394608135,0.13671055735593723,-0.0001449782013971425,0.043739673113612154,0.17049588351167988,-2.2500400076367457,5.44903126031739,0.0089811949330067,5.852746619524895
2003-10-31,2003-09-30,ft_med_ef21_fc60_sample_sleeves,0.0011789427517589698,0.0443643666286285,0.07994288368062612,0.0008994361862058146,0.04437950308557276,0.11060891084131336,0.24310528706477486,0.7296161845622039,0.20976517608632747,0.034651780817763
2003-11-28,2003-10-31,ft_med_ef21_fc60_sample_sleeves,0.005050705139538985,0.04553917918273857,0.0831577906240772,0.005932679308190235,0.044990666867782615,0.09448310024538709,0.038169197110363776,0.11411783038930202,0.03548967354849812,0.0028085647731743452
2003-12-31,2003-11-28,ft_med_ef21_fc60_sample_sleeves,0.004818859379099867,0.04549307992361234,0.0865091723946335,0.00537937393800348,0.0450905356235765,0.0947017244022092,0.041172278381081596,0.12474466390140243,0.039180880822158475,0.0020882408865758252
2004-01-30,2003-12-31,ft_med_ef21_fc60_sample_sleeves,0.005980536618417041,0.04588566442095032,0.05278186838644976,0.006879598093832184,0.04571209860031216,0.06076837554464243,0.02533726817970184,0.08772624091434432,0.0233053181201093,0.002104147431307007
2004-02-27,2004-01-30,ft_med_ef21_fc60_sample_sleeves,0.007346620820001694,0.04553162652853938,0.02148217666503011,0.008206473235116703,0.04577356171274839,0.03579517519075154,0.017345445275416184,0.06654710310380893,0.014570774432949003,0.0028293672969255915
2004-03-31,2004-02-27,ft_med_ef21_fc60_sample_sleeves,0.00790067901068805,0.045585279287801164,0.02926561918936152,0.008601641973015843,0.04566730351184113,0.03821769873631237,0.01786767637835822,0.06581861310561224,0.01612013037897029,0.0017954786779154645
2004-04-30,2004-03-31,ft_med_ef21_fc60_sample_sleeves,0.012038257879593603,0.041259956503289674,0.03485349163987117,0.011285910772222926,0.04241133229040289,0.07741636676649333,0.023624343683241525,0.061361149279579495,0.02070074579583692,0.003013451773451075
2004-05-28,2004-04-30,ft_med_ef21_fc60_sample_sleeves,0.014457183400346817,0.03825326860170919,0.05550940045795111,0.014170981366403651,0.038010262341151436,0.10234597178979599,0.02460550341713374,0.050086078636002056,0.022363711188391467,0.0023805643387074886
2004-06-30,2004-05-28,ft_med_ef21_fc60_sample_sleeves,0.015268852910362328,0.038144332616733216,0.0632346838915932,0.015337827183628338,0.03789616602547532,0.08867694952933261,0.02364087336981296,0.04704842751369933,0.02241424916053593,0.001330865037596235
2004-07-30,2004-06-30,ft_med_ef21_fc60_sample_sleeves,0.018514063718378212,0.029663086440718328,0.06889111291873974,0.01931456460491947,0.026014179029416662,0.12554608364396538,0.023713407956840557,0.028824690301576906,0.021009638576709837,0.0035659228896413064
2004-08-31,2004-07-30,ft_med_ef21_fc60_sample_sleeves,0.004559552592699134,0.01671887902348676,0.23519411345559263,-0.011440531683501868,0.004699879737901508,0.44063088215387347,-0.01229128218576733,0.004871494716004002,0.00455955278356138,0.02059881438560822
2004-09-30,2004-08-31,ft_med_ef21_fc60_sample_sleeves,0.004600761230017858,0.016782925668048742,0.22064213401889732,-6.012770079434599e-05,0.013146966162147125,0.27640930929653146,-0.7946246298989552,1.511364641242847,0.01844977553393495,1.6863917117472118
2004-10-29,2004-09-30,ft_med_ef21_fc60_sample_sleeves,0.0056181798608569734,0.016499120330066758,0.24064913906017613,0.0028676876263719624,0.014072902301143478,0.2775094180447292,0.022032882059643485,0.039007975063237735,0.022172394497172513,0.0014516453759996057
2004-11-30,2004-10-29,ft_med_ef21_fc60_sample_sleeves,0.0074511910414724785,0.0164898073807293,0.29748498302655196,0.004872012413107505,0.0144064764341516,0.3263819914024041,0.018775807165207607,0.028281529191823186,0.019603966291619916,0.0010008119574048077
2004-12-31,2004-11-30,ft_med_ef21_fc60_sample_sleeves,0.007623573794019222,0.01657470686860072,0.5163732584982579,0.002514363158363727,0.015032873238614146,0.5448252805450189,0.05148246135130948,0.06802329173380349,0.05148246003759023,0.004778237657071915
2005-01-31,2004-12-31,ft_med_ef21_fc60_sample_sleeves,0.008731414458115197,0.016931682729135162,0.6148840812660868,0.005152129473296325,0.01616469425521756,0.6579909039928414,0.038523044177322344,0.04420123560517339,0.03852304333817886,0.0026066411325408215
2005-02-28,2005-01-31,ft_med_ef21_fc60_sample_sleeves,0.006946357492642417,0.01582204273281719,0.4136566477763794,0.00553175663383677,0.014856643973061016,0.4369826052974607,0.02296758222777617,0.030272397909472646,0.023335133280185334,0.00046100036978165054
2005-03-31,2005-02-28,ft_med_ef21_fc60_sample_sleeves,0.005940703693020044,0.01373541995631632,0.41465676519800154,0.004691953335833719,0.012835577355131307,0.4455011137851159,0.020335165182900922,0.026721597531911417,0.02056855483991227,0.0002920874908170109
2005-04-29,2005-03-31,ft_med_ef21_fc60_sample_sleeves,0.00488250619400015,0.013850412342463708,0.40032491153917843,0.003845456538462889,0.013246060651639035,0.43045785096933054,0.02348612227334381,0.03273545972815512,0.023486121753399283,0.00023364502421208393
2005-05-31,2005-04-29,ft_med_ef21_fc60_sample_sleeves,0.005637477537357543,0.01235194704062249,0.3372044117236595,0.005182131861572011,0.011425024135845844,0.383704535346179,0.014847151156105583,0.019338574657885164,0.014482738802972612,0.00045499626153772663
2005-06-30,2005-05-31,ft_med_ef21_fc60_sample_sleeves,0.007049789776934313,0.01325118742402229,0.27556404690177927,0.007105338749193342,0.012206685177818623,0.32328049844592815,0.01388472232467013,0.017063729163353403,0.01316131841425816,0.0009243033294827815
2005-07-29,2005-06-30,ft_med_ef21_fc60_sample_sleeves,0.006398915889030884,0.013164275022364946,0.3494339642484125,0.005938607066712353,0.012452657568587974,0.37663346016171567,0.015773245568815618,0.020294590038320005,0.015620777275685406,0.00019275355751831544
2005-08-31,2005-07-29,ft_med_ef21_fc60_sample_sleeves,0.006022146300929971,0.013011956413677058,0.3390422755435589,0.0056789871915725485,0.012417955437325006,0.3668352479477952,0.015639928100255527,0.020607818870532642,0.015439355703747085,0.00025039429893465814
2005-09-30,2005-08-31,ft_med_ef21_fc60_sample_sleeves,0.006097394052054185,0.012925006154153923,0.26390466407452245,0.006286609080138635,0.012294642212847741,0.30630309797546806,0.013651506860140876,0.018117487189916074,0.012971093907336133,0.0008361479648718968
2005-10-31,2005-09-30,ft_med_ef21_fc60_sample_sleeves,0.004751600106825133,0.011820292174419982,0.25483254007652634,0.004966215767307778,0.011417443933845079,0.2972614109668247,0.012769020266761409,0.018307746216496844,0.012096058753194399,0.0008027843178390258
2005-11-30,2005-10-31,ft_med_ef21_fc60_sample_sleeves,0.002808941734806969,0.012034908012936862,0.26762471862004655,0.0028406316228148532,0.012065309143108452,0.30235645248078125,0.018335262401305192,0.030653111164671724,0.017619037504439133,0.0008212948467538265
2005-12-30,2005-11-30,ft_med_ef21_fc60_sample_sleeves,0.003212943370639874,0.012202444206722576,0.23467029673089146,0.003431006464223024,0.012138199787341227,0.26996745746818024,0.015024076058420712,0.025400215428494334,0.014241574356414556,0.0008929051481699406
2006-01-31,2005-12-30,ft_med_ef21_fc60_sample_sleeves,0.0038847346194353658,0.01210538348002728,0.26871627551065624,0.003908412653448787,0.011949621075404123,0.2950722847757714,0.014688847439265122,0.023165825931853918,0.014275343589130615,0.0004834149163505026
2006-02-28,2006-01-31,ft_med_ef21_fc60_sample_sleeves,0.00635283183415255,0.01049289322374475,0.3979169471649653,0.005593995171853772,0.010000589905141022,0.39927846959573166,0.012732463583102418,0.015087622047981954,0.012989299809917882,0.0003439823010181451
2006-03-31,2006-02-28,ft_med_ef21_fc60_sample_sleeves,0.006476640622809498,0.010393407093320775,0.34571221191760554,0.006087457135950431,0.00984483737361901,0.35904027335011596,0.011803879933656202,0.013708911727677263,0.011764537425803311,5.289237633690268e-05
