decision_date,feature_end,date,label_start,n_names,n_sleeves,include_thin,n_thin,strategy_id,ticker,weight,thin_lt5y,configuration_id
1999-01-29,1999-01-29,1999-02-26,1999-01-30,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-01-29,1999-01-29,1999-02-26,1999-01-30,1,1,False,0,erc__0,SPY,1.0,False,0
1999-01-29,1999-01-29,1999-02-26,1999-01-30,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-01-29,1999-01-29,1999-02-26,1999-01-30,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-02-26,1999-02-26,1999-03-31,1999-02-27,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-02-26,1999-02-26,1999-03-31,1999-02-27,1,1,False,0,erc__0,SPY,1.0,False,0
1999-02-26,1999-02-26,1999-03-31,1999-02-27,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-02-26,1999-02-26,1999-03-31,1999-02-27,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-03-31,1999-03-31,1999-04-30,1999-04-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-03-31,1999-03-31,1999-04-30,1999-04-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-03-31,1999-03-31,1999-04-30,1999-04-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-03-31,1999-03-31,1999-04-30,1999-04-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-04-30,1999-04-30,1999-05-28,1999-05-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-04-30,1999-04-30,1999-05-28,1999-05-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-04-30,1999-04-30,1999-05-28,1999-05-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-04-30,1999-04-30,1999-05-28,1999-05-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-05-28,1999-05-28,1999-06-30,1999-05-29,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-05-28,1999-05-28,1999-06-30,1999-05-29,1,1,False,0,erc__0,SPY,1.0,False,0
1999-05-28,1999-05-28,1999-06-30,1999-05-29,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-05-28,1999-05-28,1999-06-30,1999-05-29,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-06-30,1999-06-30,1999-07-30,1999-07-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-06-30,1999-06-30,1999-07-30,1999-07-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-06-30,1999-06-30,1999-07-30,1999-07-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-06-30,1999-06-30,1999-07-30,1999-07-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-07-30,1999-07-30,1999-08-31,1999-07-31,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-07-30,1999-07-30,1999-08-31,1999-07-31,1,1,False,0,erc__0,SPY,1.0,False,0
1999-07-30,1999-07-30,1999-08-31,1999-07-31,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-07-30,1999-07-30,1999-08-31,1999-07-31,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-08-31,1999-08-31,1999-09-30,1999-09-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-08-31,1999-08-31,1999-09-30,1999-09-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-08-31,1999-08-31,1999-09-30,1999-09-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-08-31,1999-08-31,1999-09-30,1999-09-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-09-30,1999-09-30,1999-10-29,1999-10-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-09-30,1999-09-30,1999-10-29,1999-10-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-09-30,1999-09-30,1999-10-29,1999-10-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-09-30,1999-09-30,1999-10-29,1999-10-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-10-29,1999-10-29,1999-11-30,1999-10-30,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-10-29,1999-10-29,1999-11-30,1999-10-30,1,1,False,0,erc__0,SPY,1.0,False,0
1999-10-29,1999-10-29,1999-11-30,1999-10-30,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-10-29,1999-10-29,1999-11-30,1999-10-30,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-11-30,1999-11-30,1999-12-31,1999-12-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-11-30,1999-11-30,1999-12-31,1999-12-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-11-30,1999-11-30,1999-12-31,1999-12-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-11-30,1999-11-30,1999-12-31,1999-12-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
1999-12-31,1999-12-31,2000-01-31,2000-01-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
1999-12-31,1999-12-31,2000-01-31,2000-01-01,1,1,False,0,erc__0,SPY,1.0,False,0
1999-12-31,1999-12-31,2000-01-31,2000-01-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
1999-12-31,1999-12-31,2000-01-31,2000-01-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
2000-01-31,2000-01-31,2000-02-29,2000-02-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
2000-01-31,2000-01-31,2000-02-29,2000-02-01,1,1,False,0,erc__0,SPY,1.0,False,0
2000-01-31,2000-01-31,2000-02-29,2000-02-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
2000-01-31,2000-01-31,2000-02-29,2000-02-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
2000-02-29,2000-02-29,2000-03-31,2000-03-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
2000-02-29,2000-02-29,2000-03-31,2000-03-01,1,1,False,0,erc__0,SPY,1.0,False,0
2000-02-29,2000-02-29,2000-03-31,2000-03-01,1,1,False,0,minvar_lw__0,SPY,1.0,False,0
2000-02-29,2000-02-29,2000-03-31,2000-03-01,1,1,False,0,equal_weight__0,SPY,1.0,False,0
2000-03-31,2000-03-31,2000-04-28,2000-04-01,1,1,False,0,spectral_risk_parity__0,SPY,1.0,False,0
2000-03-31,2000-03-31,2000-04-28,2000-04-01,1,1,False,0,erc__0,SPY,1.0,False,0
