strategy_id,Sharpe_rf0,AnnVol,MaxDD,DSR,n_trials,n_months,turnover_per_year,include_thin
equal_weight__0,0.5656347795993851,0.13753779698109578,-0.46592790953511487,0.9904908901894774,4,343,0.16905283304297425,False
erc__0,0.6316839001415988,0.10513065310664586,-0.36938274235108126,0.9965098166696075,4,343,0.2743818486919826,False
minvar_lw__0,0.5408494720314514,0.09126879535299155,-0.40588497684782965,0.9865462234410363,4,343,0.5022289789558854,False
spectral_risk_parity__0,0.3525042720974821,0.10965164916066178,-0.45309066396348163,0.8863547922108379,4,343,0.34814330314094855,False
